Código,Nombre
13,Afganistán
15,Islas Åland
17,Albania
23,Alemania
24,Antártida
26,Armenia
27,Aruba
29,Bosnia y Herzegovina
31,Burkina Faso
37,Andorra
40,Angola
41,Anguila
43,Antigua y Barbuda
47,Antillas Neerlandesas
53,Arabia Saudita
59,Argelia
63,Argentina
69,Australia
72,Austria
74,Azerbaiyán
77,Bahamas
80,Bahrein
81,Bangladesh
83,Barbados
87,Bélgica
88,Belice
90,Bermudas
91,Bielorrusia
93,Myanmar
97,Bolivia
98,"Bonaire, San Eustaquio y Saba"
101,Botsuana
102,Isla Bouvet
105,Brasil
108,Brunei Darussalam
111,Bulgaria
115,Burundi
119,Bután
127,Cabo Verde
137,Islas Caimán
141,Camboya
145,"Camerún, República Unida del"
149,Canadá
159,Ciudad del Vaticano
165,Islas Cocos (Keeling)
169,Colombia
173,Comoras
177,"Congo, República del"
183,Islas Cook
187,Corea del Norte
190,Corea del Sur
193,Costa de Marfil
196,Costa Rica
198,Croacia
199,Cuba
200,Curazao
203,Chad
211,Chile
215,China
218,Taiwán
221,Chipre
229,Benín
232,Dinamarca
235,Dominica
239,Ecuador
240,Egipto
242,El Salvador
243,Eritrea
244,Emiratos Árabes Unidos
245,España
246,Eslovaquia
247,Eslovenia
249,Estados Unidos
251,Estonia
253,Etiopía
259,Islas Feroe
267,Filipinas
271,Finlandia
275,Francia
281,Gabón
285,Gambia
287,Georgia
289,Ghana
293,Gibraltar
297,Granada
301,Grecia
305,Groenlandia
309,Guadalupe
313,Guam
317,Guatemala
325,Guayana Francesa
327,Guernsey
329,Guinea
331,Guinea Ecuatorial
334,Guinea-Bisáu
337,Guyana
341,Haití
343,Islas Heard y McDonald
345,Honduras
351,Hong Kong
355,Hungría
361,India
365,Indonesia
369,Irak
372,Irán
375,Irlanda
379,Islandia
383,Israel
386,Italia
391,Jamaica
399,Japón
401,Jersey
403,Jordania
406,Kazajistán
410,Kenia
411,Kiribati
412,Kirguistán
413,Kuwait
420,Laos
426,Lesoto
429,Letonia
431,Líbano
434,Liberia
438,Libia
440,Liechtenstein
443,Lituania
445,Luxemburgo
447,Macao
448,Macedonia
450,Madagascar
455,Malasia
458,Malawi
461,Maldivas
464,Malí
467,Malta
468,Isla de Man
469,Islas Marianas del Norte
472,Islas Marshall
474,Marruecos
477,Martinica
485,Mauricio
488,Mauritania
489,Mayotte
493,México
494,"Micronesia, Estados Federados de"
496,Moldavia
497,Mongolia
498,Mónaco
500,Montenegro
501,Isla Montserrat
505,Mozambique
507,Namibia
508,Nauru
511,Isla de Navidad (Christmas)
517,Nepal
521,Nicaragua
525,Níger
528,Nigeria
531,Isla Niue
535,Isla Norfolk
538,Noruega
542,Nueva Caledonia
545,Papúa Nueva Guinea
548,Nueva Zelanda
551,Vanuatu
556,Omán
566,Islas Ultramarinas Menores de EE. UU.
573,Países Bajos
576,Pakistán
578,Islas Palaos
579,Estado de Palestina
580,Panamá
586,Paraguay
589,Perú
593,Isla Pitcairn
599,Polinesia Francesa
603,Polonia
607,Portugal
611,Puerto Rico
618,Catar
628,Reino Unido
640,República Centroafricana
644,República Checa
647,República Dominicana
660,Reunión
665,Zimbabue
670,Rumania
675,Ruanda
676,Rusia
677,Islas Salomón
685,Sahara Occidental
687,Samoa
688,Serbia y Montenegro
690,Samoa Americana
693,San Bartolomé
695,San Cristóbal y Nieves
697,San Marino
698,San Martín (Parte Francesa)
699,San Martín (Parte Neerlandesa)
700,San Pedro y Miquelón
