"FECH","ADUANA","PAIS","CODPAI","CODSALI1","CODSAL","DEPTO2","VIA4","BANDERA4","REGIMEN4","MODALI4","FORPAGO4","CERORI3","SISESP","POSARA","DEPTO4","UNIDAD4","CODUNI4","CANTIDA4","PBK","PNK","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
404,11,196,"CRI",3,"BOG",5,4,169,1,2,2,8,2,4911910000,5,33,"KG",0,1.33,1,0.12,316.75,0,0,0,0
404,11,196,"CRI",3,"BOG",5,4,169,1,2,2,8,2,6115920000,5,19,"2U",3,2.67,2,0.09,237.56,0,0,0,0
404,11,850,"VEN",3,"BOG",5,4,589,1,2,2,8,2,4820100000,5,11,"U",200,115,103.5,400,1055840,0,0,0,0
404,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6109100000,5,11,"U",38,10.92,9.5,228,601828.8,0,0,0,0
404,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6205200000,5,11,"U",5,1.44,1.25,40,105584,0,0,0,0
404,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6206300000,5,11,"U",46,13.22,11.5,276,728529.6,0,0,0,0
404,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6203320000,5,11,"U",1,0.8,0.7,15,39594,0,0,0,0
404,11,245,"ESP",3,"BOG",5,4,245,1,4,2,8,2,9805000000,5,11,"U",1,39,39,1,2639.6,0,0,0,0
404,11,249,"USA",11,"MDE",5,4,589,1,2,2,8,2,603109090,5,11,"U",280,13,11.7,20,52792,0,0,0,0
404,11,245,"ESP",3,"BOG",5,4,275,1,2,2,8,2,6212100000,5,11,"U",270,19.1,15.62,405,1069038,0,0,0,0
404,11,245,"ESP",3,"BOG",5,4,275,1,2,2,8,2,6108220000,5,11,"U",180,12.74,10.42,180,475128,0,0,0,0
404,11,245,"ESP",3,"BOG",5,4,275,1,2,2,8,2,6108920000,5,11,"U",39,2.75,2.25,78,205888.8,0,0,0,0
404,11,245,"ESP",3,"BOG",5,4,245,1,2,2,8,2,6212100000,5,11,"U",137,12.47,11,205.5,542437.8,0,0,0,0
404,11,245,"ESP",3,"BOG",5,4,245,1,2,2,8,2,6108220000,5,11,"U",147,13.03,11.5,147,388021.2,0,0,0,0
404,11,245,"ESP",3,"BOG",5,4,245,1,2,2,8,2,6212900000,5,11,"U",3,0.57,0.5,4.5,11878.2,0,0,0,0
404,11,245,"ESP",3,"BOG",5,4,245,1,2,2,8,2,4821100000,5,33,"KG",0,7.93,7,50,131980,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6217100000,5,11,"U",6,1.74,1.57,18,47512.8,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6204530000,5,11,"U",2,0.58,0.52,6,15837.6,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6204430000,5,11,"U",2,0.58,0.52,6,15837.6,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6204520000,5,11,"U",6,1.74,1.57,18,47512.8,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6106100000,5,11,"U",11,3.2,2.88,33,87106.8,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6106200000,5,11,"U",11,3.2,2.88,33,87106.8,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6106900000,5,11,"U",2,0.58,0.52,6,15837.6,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6108310000,5,11,"U",3,0.87,0.78,9,23756.4,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,4202210000,5,11,"U",1,0.29,0.26,3,7918.8,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,4202220000,5,11,"U",4,1.17,1.05,12,31675.2,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6104420000,5,11,"U",1,0.29,0.26,3,7918.8,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6111200000,5,11,"U",18,5.23,4.71,54,142538.4,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6111300000,5,11,"U",6,1.74,1.57,18,47512.8,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6204390000,5,11,"U",2,0.58,0.52,6,15837.6,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6108320000,5,11,"U",1,0.29,0.26,3,7918.8,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6406200000,5,11,"U",1,0.29,0.26,3,7918.8,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6403190000,5,19,"2U",18,5.23,4.71,54,142538.4,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6403590000,5,19,"2U",2,0.62,0.56,6,15837.6,0,0,0,0
404,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6404190000,5,19,"2U",6,1.74,1.57,18,47512.8,0,0,0,0
404,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6209200000,5,11,"U",27,4.14,4,32.4,85523.04,0,0,0,0
404,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6203420000,5,11,"U",25,15.75,13.9,179.6,474072.16,0,0,0,0
404,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6204420000,5,11,"U",1,0.52,0.5,1.2,3167.52,0,0,0,0
404,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6111200000,5,11,"U",3,1.76,1.4,4.5,11878.2,0,0,0,0
404,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6111300000,5,11,"U",28,6.54,5.91,29,76548.4,0,0,0,0
404,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6112110000,5,11,"U",7,4.1,3.26,14,36954.4,0,0,0,0
404,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6112120000,5,11,"U",1,2.02,1.61,2,5279.2,0,0,0,0
404,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6103330000,5,11,"U",1,2.02,1.61,2,5279.2,0,0,0,0
404,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6107220000,5,11,"U",2,2.4,1.91,3,7918.8,0,0,0,0
404,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6104320000,5,11,"U",1,2.02,1.61,2,5279.2,0,0,0,0
404,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6108320000,5,11,"U",3,1.72,1.37,4.5,11878.2,0,0,0,0
404,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6104630000,5,11,"U",1,2.02,1.61,2,5279.2,0,0,0,0
