"FECH","ADUANA","PAIS","CODPAI","CODSALI1","CODSAL","DEPTO2","VIA4","BANDERA4","REGIMEN4","MODALI4","FORPAGO4","CERORI3","SISESP","POSARA","DEPTO4","UNIDAD4","CODUNI4","CANTIDA4","PBK","PNK","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
408,35,580,"PAN",35,"BUN",11,1,43,1,198,1,8,2,8483309000,11,11,"U",2000,95.96,82.72,460,1195351.4,0,0,0,0
408,35,580,"PAN",35,"BUN",11,1,43,1,198,1,8,2,8708999990,11,11,"U",377,676.87,583.51,3245,8432424.55,0,0,0,0
408,35,580,"PAN",35,"BUN",11,1,43,1,198,1,8,2,8544300000,11,11,"U",36,24.78,21.36,118.8,308712.49,0,0,0,0
408,35,580,"PAN",35,"BUN",11,1,43,1,198,1,8,2,4016930000,11,11,"U",920,173.55,149.61,832,2162026.88,0,0,0,0
408,35,580,"PAN",35,"BUN",11,1,43,1,198,1,8,2,4016992000,11,11,"U",1760,360.93,311.15,1730.4,4496600.14,0,0,0,0
408,35,580,"PAN",35,"BUN",11,1,43,1,198,1,8,2,8708299000,11,11,"U",6,6.81,5.87,32.64,84817.98,0,0,0,0
408,35,580,"PAN",35,"BUN",11,1,43,1,198,1,8,2,8708393090,11,11,"U",1559,111.73,96.32,535.66,1391960.72,0,0,0,0
408,35,580,"PAN",35,"BUN",11,1,43,1,198,1,8,2,7318160000,11,33,"KG",0,57.37,49.46,275,714612.25,0,0,0,0
408,35,589,"PER",35,"BUN",76,1,434,1,198,1,2,1,3304990000,76,33,"KG",0,28.21,27.26,101.76,264432.52,42.97,1.42,0,2.19
408,35,589,"PER",35,"BUN",76,1,434,1,198,1,2,1,3306900000,76,33,"KG",0,7959.31,7690.17,9936.96,25822084.89,9078.7,399.47,0,214.02
408,35,589,"PER",35,"BUN",11,1,43,1,198,1,2,1,2104101000,11,33,"KG",0,6402.04,6080,14750.39,38330215.95,11126.11,304.8,0,452.66
408,35,589,"PER",35,"BUN",11,1,434,1,198,1,2,1,2103200000,11,33,"KG",0,5086.08,4734.84,2656.8,6903933.91,2233.05,241.21,0,81.75
408,35,647,"DOM",35,"BUN",76,1,221,1,198,1,7,1,3306900000,76,33,"KG",0,2664.15,2461.18,4290.88,11150237.86,4155.72,559.12,0,290.57
408,35,647,"DOM",35,"BUN",76,1,221,1,198,1,7,1,3304990000,76,33,"KG",0,5659.29,5228.12,11656.92,30291555.74,9333.29,1187.7,0,789.38
408,35,647,"DOM",35,"BUN",76,1,221,1,198,1,7,1,3004401990,76,33,"KG",0,728.46,672.96,6895.86,17919512.84,5553.15,152.88,0,466.97
408,35,196,"CRI",35,"BUN",76,1,43,1,198,1,7,1,3004902990,76,33,"KG",0,560.81,535.68,1347.84,3502483.55,1257.53,122.78,0,49.38
408,35,196,"CRI",35,"BUN",76,1,43,1,198,1,7,1,3306900000,76,33,"KG",0,3660,3496,5290,13746541.1,5123.37,801.28,0,193.8
408,35,196,"CRI",35,"BUN",76,1,43,1,198,1,7,1,3304990000,76,33,"KG",0,3368.53,3217.59,7338.13,19068791.24,5976.54,737.47,0,268.84
408,35,196,"CRI",35,"BUN",76,1,43,1,198,1,7,1,3004401990,76,33,"KG",0,663.31,633.59,14114.38,36677486.72,10676.12,145.22,0,517.09
408,35,589,"PER",35,"BUN",76,1,43,1,198,1,2,1,3306900000,76,33,"KG",0,6550.05,6320.67,8712.96,22641410.73,7818.13,441.67,0,335.47
408,35,589,"PER",35,"BUN",76,1,43,1,198,1,2,1,3304990000,76,33,"KG",0,1134.99,1095.24,4036.8,10489988.11,3603.75,76.53,0,155.43
408,35,589,"PER",35,"BUN",76,1,221,1,198,1,2,1,3004902990,76,33,"KG",0,535.56,518.58,17141.4,44543470.63,10497.31,38.89,0,457.42
408,35,589,"PER",35,"BUN",76,1,221,1,198,1,2,1,3304990000,76,33,"KG",0,483.89,468.55,2505.4,6510507.39,2342.72,35.14,0,66.86
408,35,589,"PER",35,"BUN",76,1,221,1,198,1,2,1,3306900000,76,33,"KG",0,6416.85,6213.43,7795.74,20257932.01,6852.5,465.97,0,208.03
408,35,242,"SLV",35,"BUN",76,1,580,1,198,1,7,1,3304990000,76,33,"KG",0,3654.97,3539.63,9642.52,25056956.05,8544.09,384.91,0,521.64
408,35,242,"SLV",35,"BUN",76,1,580,1,198,1,7,1,3306900000,76,33,"KG",0,3514.08,3403.18,4250.64,11045670.6,3797.52,370.07,0,229.95
408,11,628,"GBR",3,"BOG",5,4,573,1,2,2,8,2,714100000,5,33,"KG",0,11.7,10.53,13,33781.67,0,0,0,0
