"FECH","ADUANA","PAIS","CODPAI","CODSALI1","CODSAL","DEPTO2","VIA4","BANDERA4","REGIMEN4","MODALI4","FORPAGO4","CERORI3","SISESP","POSARA","DEPTO4","UNIDAD4","CODUNI4","CANTIDA4","PBK","PNK","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
412,2,399,"JPN",2,"BAQ",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,296934,294480,517759.55,1248509846,0,0,0,0
412,35,23,"DEU",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,29458.85,29215.38,129856,313130862.7,0,0,0,0
412,35,23,"DEU",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,7107661,7048920,14275802.14,34424241006,0,0,0,0
412,35,63,"ARG",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,20146.5,19980,39970,96382458.9,0,0,0,0
412,35,69,"AUS",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,269406.5,267180,592524.89,1428796744,0,0,0,0
412,35,72,"AUT",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,84821,84120,172024.11,414813778.1,0,0,0,0
412,35,87,"BEL",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,2642882,2621040,5195547.08,12528386362,0,0,0,0
412,35,97,"BOL",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,3560.19,3530.77,38318,92398875.66,0,0,0,0
412,35,149,"CAN",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,2441477.5,2421300,4709725.12,11356889863,0,0,0,0
412,35,211,"CHL",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,2722.5,2700,24701.7,59564938.33,0,0,0,0
412,35,215,"CHN",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,23050.5,22860,52257.1,126011203.2,0,0,0,0
412,35,190,"KOR",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,530343,525960,967700.34,2333483569,0,0,0,0
412,35,232,"DNK",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,105633,104760,209005.51,503989616.7,0,0,0,0
412,35,249,"USA",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,128585.77,127523.08,654733.5,1578804720,0,0,0,0
412,35,249,"USA",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,17393447.5,17249700,34782775.5,83874141357,0,0,0,0
412,35,249,"USA",35,"BUN",2,1,169,1,198,1,0,2,901120000,2,33,"KG",0,35271.5,34980,75320.31,181625135.9,0,0,0,0
412,35,245,"ESP",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,143869,142680,297710.57,717890337.2,0,0,0,0
412,35,676,"RUS",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,81954.23,81276.92,668015,1610831331,0,0,0,0
412,35,676,"RUS",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,19360,19200,34303.5,82718430.8,0,0,0,0
412,35,271,"FIN",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,169279,167880,314669.33,758784182.3,0,0,0,0
412,35,275,"FRA",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,14287.31,14169.23,49896,120317717.5,0,0,0,0
412,35,275,"FRA",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,1025777.5,1017300,2010407.37,4847836020,0,0,0,0
412,35,301,"GRC",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,40595.5,40260,73516.75,177276085.5,0,0,0,0
412,35,573,"NLD",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,14287.31,14169.23,121776,293646993.1,0,0,0,0
412,35,573,"NLD",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,337408.5,334620,618853.84,1492285584,0,0,0,0
412,35,351,"HKG",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,57233,56760,112604.25,271530510.3,0,0,0,0
412,35,383,"ISR",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,230565.5,228660,471416.85,1136760450,0,0,0,0
412,35,386,"ITA",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,270253.5,268020,542620.44,1308458650,0,0,0,0
412,35,399,"JPN",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,73088.65,72484.62,645577,1556725010,0,0,0,0
412,35,399,"JPN",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,7575447,7512840,14947342.93,36043574321,0,0,0,0
412,35,431,"LBN",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,39506.5,39180,76330.75,184061680.6,0,0,0,0
412,35,474,"MAR",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,38962,38640,82929.11,199972768,0,0,0,0
412,35,538,"NOR",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,577049,572280,1041820.86,2512215567,0,0,0,0
412,35,548,"NZL",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,56567.5,56100,107367.35,258902406.8,0,0,0,0
412,35,580,"PAN",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,5887.12,5838.46,31330.42,75549234.88,0,0,0,0
412,35,589,"PER",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,11564.81,11469.23,88826.1,214192592.8,0,0,0,0
412,35,603,"POL",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,27318.08,27092.31,254062.5,612638690.6,0,0,0,0
412,35,603,"POL",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,19057.5,18900,37950,91511491.5,0,0,0,0
412,35,607,"PRT",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,20146.5,19980,34593.93,83418764.98,0,0,0,0
412,35,628,"GBR",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,435600,432000,854657.49,2060895432,0,0,0,0
412,35,644,"CZE",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,81954.23,81276.92,652839,1574236379,0,0,0,0
412,35,670,"ROM",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,78468.5,77820,160109.45,386083124.5,0,0,0,0
