"FECH","ADUANA","PAIS","CODPAI","CODSALI1","CODSAL","DEPTO2","VIA4","BANDERA4","REGIMEN4","MODALI4","FORPAGO4","CERORI3","SISESP","POSARA","DEPTO4","UNIDAD4","CODUNI4","CANTIDA4","PBK","PNK","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
401,4,149,"CAN",3,"BOG",11,4,249,1,2,2,8,2,6115920000,11,19,"2U",96,2,1,70.4,193539.46,0,0,0,0
401,11,211,"CHL",3,"BOG",5,4,169,1,2,2,8,2,6307909000,5,11,"U",3,2.4,2.16,9,24742.26,0,0,0,0
401,11,211,"CHL",3,"BOG",5,4,169,1,2,2,8,2,8524310000,5,11,"U",2,3.6,3.24,2,5498.28,0,0,0,0
401,11,493,"MEX",3,"BOG",5,4,580,1,2,2,8,2,4911100000,5,33,"KG",0,1.7,1.26,17,46735.38,0,0,0,0
401,11,493,"MEX",3,"BOG",5,4,580,1,2,2,8,2,3926200000,5,11,"U",200,14.3,10.61,10,27491.4,0,0,0,0
401,11,611,"PRI",3,"BOG",5,4,169,1,2,2,8,2,6112410000,5,11,"U",3,0.35,0.24,6,16494.84,0,0,0,0
401,11,611,"PRI",3,"BOG",5,4,169,1,2,2,8,2,6212100000,5,11,"U",5,0.59,0.4,5,13745.7,0,0,0,0
401,11,611,"PRI",3,"BOG",5,4,169,1,2,2,8,2,6108220000,5,11,"U",4,0.46,0.31,4,10996.56,0,0,0,0
401,11,245,"ESP",3,"BOG",5,4,245,1,2,2,8,2,4911100000,5,33,"KG",0,161.27,156,65,178694.1,0,0,0,0
401,11,245,"ESP",3,"BOG",5,4,245,1,2,2,8,2,9017809000,5,11,"U",1626,40.32,39,16.26,44701.02,0,0,0,0
401,11,245,"ESP",3,"BOG",5,4,245,1,2,2,8,2,4820100000,5,11,"U",2500,62.19,60.16,25,68728.5,0,0,0,0
401,11,245,"ESP",3,"BOG",5,4,245,1,2,2,8,2,3926100000,5,11,"U",990,25.21,24.39,9.9,27216.49,0,0,0,0
401,11,23,"DEU",3,"BOG",5,4,445,1,4,2,8,2,9805000000,5,11,"U",1,366,329,1,2749.14,0,0,0,0
401,11,245,"ESP",3,"BOG",5,4,245,1,4,2,8,2,9805000000,5,11,"U",2,135,121,1,2749.14,0,0,0,0
401,11,249,"USA",11,"MDE",5,4,169,1,2,2,8,2,4910000000,5,11,"U",722,14.8,12,20,54982.8,0,0,0,0
401,11,249,"USA",11,"MDE",5,4,169,1,2,2,8,2,4911990000,5,33,"KG",0,12.33,10,20,54982.8,0,0,0,0
401,11,249,"USA",11,"MDE",5,4,169,1,2,2,8,2,4819100000,5,11,"U",16,9.87,8,20,54982.8,0,0,0,0
401,11,249,"USA",11,"MDE",5,4,169,1,2,2,8,2,6105100000,5,11,"U",390,146,125.7,1794,4931957.16,0,0,0,0
401,11,249,"USA",11,"MDE",5,4,169,1,2,2,8,2,3305100000,5,33,"KG",0,156,150,470,1292095.8,0,0,0,0
401,11,249,"USA",11,"MDE",5,4,169,1,2,2,8,2,4302190000,5,33,"KG",0,40,36,1155,3175256.7,0,0,0,0
401,11,249,"USA",11,"MDE",5,4,169,1,2,2,8,2,9403600000,5,11,"U",3,459.92,402,470,1292095.8,0,0,0,0
401,11,580,"PAN",11,"MDE",5,4,169,1,2,2,8,2,9403200000,5,11,"U",1,109,103,20,54982.8,0,0,0,0
401,11,493,"MEX",3,"BOG",5,4,580,1,2,2,8,2,3506910000,5,33,"KG",0,4,3,1.25,3436.43,0,0,0,0
401,11,242,"SLV",11,"MDE",5,4,580,1,2,2,8,2,6109100000,5,11,"U",48,17.32,15.59,144,395876.16,0,0,0,0
401,11,242,"SLV",11,"MDE",5,4,580,1,2,2,8,2,6106100000,5,11,"U",17,6.13,5.52,51,140206.14,0,0,0,0
401,11,242,"SLV",11,"MDE",5,4,580,1,2,2,8,2,6204620000,5,11,"U",59,21.29,19.16,177,486597.78,0,0,0,0
401,11,242,"SLV",11,"MDE",5,4,580,1,2,2,8,2,6104620000,5,11,"U",1,0.36,0.32,3,8247.42,0,0,0,0
401,11,242,"SLV",11,"MDE",5,4,580,1,2,2,8,2,6205200000,5,11,"U",24,8.66,7.79,72,197938.08,0,0,0,0
401,11,242,"SLV",11,"MDE",5,4,580,1,2,2,8,2,6203420000,5,11,"U",45,16.24,14.62,135,371133.9,0,0,0,0
401,11,249,"USA",11,"MDE",5,4,580,1,2,2,8,2,6105209000,5,11,"U",10,3,2.7,60,164948.4,0,0,0,0
401,11,249,"USA",11,"MDE",5,4,580,1,2,2,8,2,6109909000,5,11,"U",9,2.7,2.43,27,74226.78,0,0,0,0
401,11,249,"USA",11,"MDE",5,4,580,1,2,2,8,2,6104530000,5,11,"U",3,0.9,0.81,10.5,28865.97,0,0,0,0
401,11,249,"USA",11,"MDE",5,4,580,1,2,2,8,2,6110900000,5,11,"U",3,0.9,0.81,15,41237.1,0,0,0,0
401,11,249,"USA",11,"MDE",5,4,580,1,2,2,8,2,6203420000,5,11,"U",12,3.6,3.24,84,230927.76,0,0,0,0
401,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,1401900000,5,33,"KG",0,127,115,100,274914,0,0,0,0
401,11,386,"ITA",3,"BOG",5,4,386,1,2,2,8,2,9013801000,5,11,"U",14,10,8,7,19243.98,0,0,0,0
401,11,249,"USA",11,"MDE",5,4,27,1,2,2,8,2,3002101900,5,33,"KG",0,1,0.9,2,5498.28,0,0,0,0
401,11,97,"BOL",3,"BOG",5,4,105,1,2,2,8,2,9021210000,5,11,"U",100,4.73,4,20,54982.8,0,0,0,0
401,11,97,"BOL",3,"BOG",5,4,105,1,2,2,8,2,4823190000,5,33,"KG",0,4.73,4,20,54982.8,0,0,0,0
401,11,97,"BOL",3,"BOG",5,4,105,1,2,2,8,2,4911990000,5,33,"KG",0,3.55,3,1,2749.14,0,0,0,0
401,11,580,"PAN",3,"BOG",5,4,169,1,2,2,8,2,9403200000,5,11,"U",39,171.49,154.34,887.71,2440439.07,0,0,0,0
401,11,580,"PAN",3,"BOG",5,4,169,1,2,2,8,2,3923210000,5,11,"U",4750,121.51,109.36,629,1729209.06,0,0,0,0
401,11,275,"FRA",3,"BOG",5,4,445,1,2,2,8,2,3214101000,5,33,"KG",0,0.16,0.15,2,5498.28,0,0,0,0
401,11,275,"FRA",3,"BOG",5,4,445,1,2,2,8,2,3404901100,5,33,"KG",0,0.08,0.07,1,2749.14,0,0,0,0
401,11,275,"FRA",3,"BOG",5,4,445,1,2,2,8,2,7226190000,5,33,"KG",0,12.76,11.78,7.9,21718.21,0,0,0,0
401,11,589,"PER",3,"BOG",5,4,589,1,2,2,8,2,4820100000,5,11,"U",150,86,82.5,300,824742,0,0,0,0
401,11,211,"CHL",3,"BOG",5,4,169,1,2,2,8,2,6108220000,5,11,"U",32,2.04,1.68,48,131958.72,0,0,0,0
401,11,211,"CHL",3,"BOG",5,4,169,1,2,2,8,2,6212100000,5,11,"U",30,1.91,1.57,30,82474.2,0,0,0,0
401,11,589,"PER",3,"BOG",5,4,169,1,2,2,8,2,4911100000,5,33,"KG",0,264,262,3125,8591062.5,0,0,0,0
401,11,345,"HND",11,"MDE",5,4,580,1,2,2,8,2,8428390000,5,11,"U",1,61,49.34,728.98,2004068.08,0,0,0,0
401,11,317,"GTM",11,"MDE",5,4,580,1,2,2,8,2,3918901000,5,82,"M2",2,8.67,8,10,27491.4,0,0,0,0
401,11,317,"GTM",11,"MDE",5,4,580,1,2,2,8,2,3923100000,5,11,"U",2,3.25,3,4,10996.56,0,0,0,0
401,11,317,"GTM",11,"MDE",5,4,580,1,2,2,8,2,8436290000,5,11,"U",1,1.08,1,1,2749.14,0,0,0,0
401,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6212100000,5,11,"U",25,7.68,7,37.5,103092.75,0,0,0,0
401,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6108220000,5,11,"U",22,7.68,7,22,60481.08,0,0,0,0
401,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6212900000,5,11,"U",531,18.65,17,20.25,55670.09,0,0,0,0
401,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,8536901090,5,11,"U",50,37,34.5,100,274914,0,0,0,0
401,11,345,"HND",11,"MDE",5,4,580,1,2,2,8,2,8431310000,5,11,"U",7,486,400,210,577319.4,0,0,0,0
401,11,647,"DOM",11,"MDE",5,4,580,1,4,2,8,2,9805000000,5,11,"U",3,125,125,1,2749.14,0,0,0,0
401,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6109909000,5,11,"U",42,11.5,11.04,42,115463.88,0,0,0,0
401,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6104630000,5,11,"U",13,3.55,3.41,13,35738.82,0,0,0,0
401,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6206300000,5,11,"U",18,4.94,4.74,18,49484.52,0,0,0,0
401,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6204630000,5,11,"U",10,2.74,2.63,10,27491.4,0,0,0,0
