"FECH","ADUANA","PAIS","CODPAI","CODSALI1","CODSAL","DEPTO2","VIA4","BANDERA4","REGIMEN4","MODALI4","FORPAGO4","CERORI3","SISESP","POSARA","DEPTO4","UNIDAD4","CODUNI4","CANTIDA4","PBK","PNK","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
402,11,917,"XCF",11,"MDE",5,3,169,1,198,1,8,2,9612100000,5,11,"U",72,35.19,34,2015.28,5477410.12,0,0,0,0
402,11,917,"XCF",11,"MDE",5,3,169,1,198,1,8,2,5402320000,5,33,"KG",0,24.88,20.06,171.31,465610.3,0,0,0,0
402,11,917,"XCF",11,"MDE",5,3,169,1,198,1,8,2,5402310000,5,33,"KG",0,2504.88,2051.42,13599.99,36963956.82,0,0,0,0
402,11,917,"XCF",11,"MDE",5,3,169,1,198,1,8,2,4415100000,5,11,"U",56,2700,2700,470.9,1279877.95,0,0,0,0
402,11,917,"XCF",11,"MDE",5,3,169,1,198,1,8,2,3212100000,5,33,"KG",0,1,0.92,46,125025.24,0,0,0,0
402,11,917,"XCF",11,"MDE",5,3,169,1,198,1,8,2,4821900000,5,33,"KG",0,29.38,24,234.84,638281.03,0,0,0,0
402,11,917,"XCF",11,"MDE",5,3,169,1,198,1,8,2,5205280000,5,33,"KG",0,11392.68,9508.37,61345.66,166733823.2,0,0,0,0
402,11,917,"XCF",11,"MDE",5,3,169,1,198,1,8,2,5606000000,5,33,"KG",0,8567.49,6853.76,68802.06,186999871,0,0,0,0
402,11,917,"XCF",11,"MDE",5,3,169,1,198,1,8,2,3919900000,5,33,"KG",0,110.28,105.35,1096.57,2980411.46,0,0,0,0
402,11,917,"XCF",11,"MDE",5,3,169,1,198,1,8,2,3923100000,5,11,"U",175672,1042.97,997,2723.63,7402662.91,0,0,0,0
402,11,917,"XCF",11,"MDE",5,3,169,1,198,1,8,2,4819100000,5,11,"U",132635,50725.15,50615.24,52533.23,142782167.2,0,0,0,0
402,11,917,"XCF",11,"MDE",5,3,169,1,198,1,8,2,4823909000,5,33,"KG",0,951.82,876.45,19109.17,51937577.51,0,0,0,0
402,2,47,"ANT",2,"BAQ",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,2396.73,2376.92,22311.2,60640502.93,0,0,0,0
402,2,47,"ANT",2,"BAQ",2,1,169,1,198,1,0,2,901211000,2,33,"KG",0,305.04,302.52,1245,3383835.3,0,0,0,0
402,2,232,"DNK",2,"BAQ",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,42350,42000,61206,166354235.6,0,0,0,0
402,2,249,"USA",2,"BAQ",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,19299.5,19140,42885.45,116560080,0,0,0,0
402,2,573,"NLD",2,"BAQ",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,21175,21000,31527,85688494.38,0,0,0,0
402,2,399,"JPN",2,"BAQ",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,17605.5,17460,50088.73,136138162.8,0,0,0,0
402,2,628,"GBR",2,"BAQ",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,156816,155520,233757.93,635340028.3,0,0,0,0
402,35,23,"DEU",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,83210.77,82523.08,577293,1569047736,0,0,0,0
402,35,23,"DEU",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,4654144,4615680,6934755.35,18848248956,0,0,0,0
402,35,59,"DZA",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,2024.42,2007.69,11660,31691180.4,0,0,0,0
402,35,63,"ARG",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,40293,39960,57239.75,155574206.1,0,0,0,0
402,35,69,"AUS",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,56386,55920,100913.23,274276104.4,0,0,0,0
402,35,72,"AUT",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,212415.5,210660,313867.98,853074337.6,0,0,0,0
402,35,87,"BEL",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,1057540,1048800,1542272.16,4191803195,0,0,0,0
402,35,149,"CAN",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,2953610,2929200,4283020.6,11640993010,0,0,0,0
402,35,211,"CHL",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,52937.5,52500,84461.46,229561180.6,0,0,0,0
402,35,215,"CHN",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,17666,17520,26427.5,71828359.35,0,0,0,0
402,35,221,"CYP",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,19360,19200,28855.75,78428197.16,0,0,0,0
402,35,190,"KOR",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,3397.31,3369.23,33180,90181249.2,0,0,0,0
402,35,190,"KOR",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,595804,590880,823507.48,2238243920,0,0,0,0
402,35,232,"DNK",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,401901.5,398580,558994.36,1519313131,0,0,0,0
402,35,244,"ARE",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,18150,18000,60120,163402552.8,0,0,0,0
402,35,239,"ECU",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,31948.65,31684.62,148187.38,402764407.6,0,0,0,0
402,35,249,"USA",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,13454716,13343520,20992854.49,57057318933,0,0,0,0
402,35,249,"USA",35,"BUN",2,1,169,1,198,1,0,2,901120000,2,33,"KG",0,95287.5,94500,152983.15,415799022.7,0,0,0,0
402,35,249,"USA",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,42861.92,42507.69,213108,579214757.5,0,0,0,0
402,35,245,"ESP",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,279086.5,276780,372879.51,1013464135,0,0,0,0
402,35,245,"ESP",35,"BUN",2,1,169,1,198,1,0,2,901120000,2,33,"KG",0,17726.5,17580,24797.5,67398117.15,0,0,0,0
402,35,676,"RUS",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,218544.62,216738.46,1740904,4731672618,0,0,0,0
402,35,271,"FIN",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,485936,481920,661939.14,1799110866,0,0,0,0
402,35,275,"FRA",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,371772.5,368700,523449.71,1422704905,0,0,0,0
402,35,301,"GRC",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,39567,39240,64921.89,176453801.7,0,0,0,0
402,35,573,"NLD",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,967213.5,959220,1338023.64,3636667972,0,0,0,0
402,35,351,"HKG",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,6817.88,6761.54,28350,77053599,0,0,0,0
402,35,351,"HKG",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,88814,88080,131217.72,356641889.9,0,0,0,0
402,35,375,"IRL",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,19360,19200,27775,75490783.5,0,0,0,0
402,35,379,"ISL",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,37086.5,36780,61815.92,168011961.6,0,0,0,0
402,35,383,"ISR",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,155787.5,154500,244721.5,665138353.7,0,0,0,0
402,35,386,"ITA",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,118096,117120,167007.54,453916473.3,0,0,0,0
402,35,399,"JPN",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,32367.5,32100,290377,789227263.4,0,0,0,0
402,35,399,"JPN",35,"BUN",2,1,169,1,198,1,0,2,901212000,2,33,"KG",0,1525.21,1512.61,8925,24257614.5,0,0,0,0
402,35,399,"JPN",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,7114679,7055880,11301485.97,30716760777,0,0,0,0
402,35,474,"MAR",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,20086,19920,31777.5,86369338.35,0,0,0,0
402,35,538,"NOR",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,668646,663120,992102.2,2696474253,0,0,0,0
