"FECH","ADUANA","PAIS","CODPAI","CODSALI1","CODSAL","DEPTO2","VIA4","BANDERA4","REGIMEN4","MODALI4","FORPAGO4","CERORI3","SISESP","POSARA","DEPTO4","UNIDAD4","CODUNI4","CANTIDA4","PBK","PNK","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
407,11,275,"FRA",3,"BOG",5,4,245,1,4,2,8,2,9805000000,5,11,"U",243,241,217,1,2653.32,0,0,0,0
407,11,538,"NOR",3,"BOG",5,4,573,1,4,2,8,2,9805000000,5,11,"U",5,201,190,250,663330,0,0,0,0
407,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6108210000,5,11,"U",17,2.23,1.95,3.4,9021.29,0,0,0,0
407,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6212100000,5,11,"U",9,1.18,1.03,9,23879.88,0,0,0,0
407,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6108220000,5,11,"U",9,1.18,1.03,4.5,11939.94,0,0,0,0
407,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6107110000,5,11,"U",10,1.31,1.15,10,26533.2,0,0,0,0
407,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6108310000,5,11,"U",6,0.79,0.69,6,15919.92,0,0,0,0
407,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6112110000,5,11,"U",10,1.31,1.15,15,39799.8,0,0,0,0
407,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,6104320000,5,11,"U",1,1.12,0.88,2,5306.64,0,0,0,0
407,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,6104330000,5,11,"U",3,3.35,2.64,6,15919.92,0,0,0,0
407,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,6104620000,5,11,"U",3,3.35,2.64,6,15919.92,0,0,0,0
407,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,6104630000,5,11,"U",4,4.47,3.52,8,21226.56,0,0,0,0
407,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,6112110000,5,11,"U",2,2.24,1.76,4,10613.28,0,0,0,0
407,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,6109909000,5,11,"U",2,1.68,1.32,3,7959.96,0,0,0,0
