"FECH","ADUANA","PAIS","CODPAI","CODSALI1","CODSAL","DEPTO2","VIA4","BANDERA4","REGIMEN4","MODALI4","FORPAGO4","CERORI3","SISESP","POSARA","DEPTO4","UNIDAD4","CODUNI4","CANTIDA4","PBK","PNK","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,4203300000,5,11,"U",135,24,20,67.5,183367.8,0,0,0,0
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,4202210000,5,11,"U",16,6,5,16,43464.96,0,0,0,0
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6403990000,5,19,"2U",80,24.55,19,80,217324.8,0,0,0,0
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,3926200000,5,11,"U",1,0.15,0.14,1,2716.56,0,0,0,0
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6104520000,5,11,"U",2,0.59,0.56,4,10866.24,0,0,0,0
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6104620000,5,11,"U",2,0.82,0.77,5.5,14941.08,0,0,0,0
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6107110000,5,11,"U",2,0.3,0.28,2,5433.12,0,0,0,0
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6108210000,5,11,"U",2,0.3,0.28,2,5433.12,0,0,0,0
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6108220000,5,11,"U",4,0.59,0.56,4,10866.24,0,0,0,0
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6108310000,5,11,"U",1,0.3,0.28,2,5433.12,0,0,0,0
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6109909000,5,11,"U",30,6.54,6.17,44,119528.64,0,0,0,0
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6111200000,5,11,"U",70,22.69,21.39,152.5,414275.4,0,0,0,0
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6115920000,5,19,"2U",15,2.23,2.1,15,40748.4,0,0,0,0
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6202120000,5,11,"U",19,7.88,7.43,53,143977.68,0,0,0,0
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6209200000,5,11,"U",55,20.3,19.14,136.5,370810.44,0,0,0,0
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6209300000,5,11,"U",1,0.3,0.28,2,5433.12,0,0,0,0
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6212100000,5,11,"U",2,0.3,0.28,2,5433.12,0,0,0,0
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6404190000,5,19,"2U",45,9.9,8.2,60,162993.6,0,0,0,0
406,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6505900000,5,11,"U",10,2.27,2.14,15,40748.4,0,0,0,0
406,11,199,"CUB",11,"MDE",5,4,580,1,2,2,8,2,9018909000,5,11,"U",1,42,39,730,1983088.8,0,0,0,0
406,11,589,"PER",11,"MDE",5,4,580,1,2,2,8,2,3905120000,5,33,"KG",0,43,40,196.16,532880.41,0,0,0,0
406,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,6109100000,5,11,"U",28,7.65,5.04,42,114095.52,0,0,0,0
406,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,6206300000,5,11,"U",9,2.46,1.62,18,48898.08,0,0,0,0
