"FECH","ADUANA","PAIS","CODPAI","CODSALI1","CODSAL","DEPTO2","VIA4","BANDERA4","REGIMEN4","MODALI4","FORPAGO4","CERORI3","SISESP","POSARA","DEPTO4","UNIDAD4","CODUNI4","CANTIDA4","PBK","PNK","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
403,11,245,"ESP",11,"MDE",5,4,169,1,4,2,8,2,9805000000,5,11,"U",1,37,33,1,2670.8,0,0,0,0
403,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,6109909000,5,11,"U",19,3.32,3,24.7,65968.76,0,0,0,0
403,11,249,"USA",11,"MDE",5,4,169,1,2,2,8,2,4821900000,5,33,"KG",0,3,1.5,15,40062,0,0,0,0
403,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,6203420000,5,11,"U",56,21.54,20.48,62.5,166925,0,0,0,0
403,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,6204620000,5,11,"U",58,22.29,21.13,64.8,173067.84,0,0,0,0
403,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,6205200000,5,11,"U",15,5.19,5.04,15,40062,0,0,0,0
403,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,6204320000,5,11,"U",7,2.43,2.36,7,18695.6,0,0,0,0
403,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,6204520000,5,11,"U",6,2.07,2.01,6,16024.8,0,0,0,0
403,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,6206300000,5,11,"U",11,3.81,3.7,11,29378.8,0,0,0,0
403,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,6110200000,5,11,"U",8,2.77,2.69,8,21366.4,0,0,0,0
403,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,6109100000,5,11,"U",74,20.3,19.49,77,205651.6,0,0,0,0
403,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,4202220000,5,11,"U",13,4.53,4.4,13,34720.4,0,0,0,0
403,11,196,"CRI",11,"MDE",5,4,580,1,2,2,8,2,4203300000,5,11,"U",8,2.78,2.7,8,21366.4,0,0,0,0
403,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,6111300000,5,11,"U",65,6.43,5.85,65,173602,0,0,0,0
403,11,589,"PER",11,"MDE",5,4,580,1,2,2,8,2,6104520000,5,11,"U",2,0.4,0.36,2,5341.6,0,0,0,0
403,11,589,"PER",11,"MDE",5,4,580,1,2,2,8,2,6104620000,5,11,"U",9,1.78,1.6,9,24037.2,0,0,0,0
403,11,589,"PER",11,"MDE",5,4,580,1,2,2,8,2,6108210000,5,11,"U",5,0.99,0.89,5,13354,0,0,0,0
403,11,589,"PER",11,"MDE",5,4,580,1,2,2,8,2,6108220000,5,11,"U",17,3.33,3,17,45403.6,0,0,0,0
403,11,589,"PER",11,"MDE",5,4,580,1,2,2,8,2,6108320000,5,11,"U",2,0.4,0.36,2,5341.6,0,0,0,0
403,11,589,"PER",11,"MDE",5,4,580,1,2,2,8,2,6109100000,5,11,"U",18,3.57,3.21,18,48074.4,0,0,0,0
403,11,589,"PER",11,"MDE",5,4,580,1,2,2,8,2,6109909000,5,11,"U",3,0.59,0.53,3,8012.4,0,0,0,0
403,11,589,"PER",11,"MDE",5,4,580,1,2,2,8,2,6112410000,5,11,"U",7,1.39,1.25,7,18695.6,0,0,0,0
403,11,589,"PER",11,"MDE",5,4,580,1,2,2,8,2,6212100000,5,11,"U",10,2,1.8,10,26708,0,0,0,0
403,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6203420000,5,11,"U",41,7.35,6.43,123,328508.4,0,0,0,0
403,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6205200000,5,11,"U",24,4.31,3.77,72,192297.6,0,0,0,0
403,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6203320000,5,11,"U",7,1.26,1.1,21,56086.8,0,0,0,0
403,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6109100000,5,11,"U",62,11.12,9.73,186,496768.8,0,0,0,0
403,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6204620000,5,11,"U",57,10.23,8.95,171,456706.8,0,0,0,0
403,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6106100000,5,11,"U",17,3.05,2.67,51,136210.8,0,0,0,0
403,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6204320000,5,11,"U",7,1.26,1.1,21,56086.8,0,0,0,0
403,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6204520000,5,11,"U",8,1.44,1.26,24,64099.2,0,0,0,0
403,11,249,"USA",11,"MDE",5,4,169,1,2,2,8,2,6307100000,5,11,"U",43,225,201.9,43,114844.4,0,0,0,0
403,11,249,"USA",11,"MDE",5,4,249,1,2,2,8,2,6203420000,5,11,"U",10,5,4.5,65,173602,0,0,0,0
403,11,647,"DOM",11,"MDE",5,4,580,1,4,2,8,2,9805000000,5,11,"U",18,335,308,1,2670.8,0,0,0,0
403,11,249,"USA",11,"MDE",5,4,169,1,4,2,8,2,9805000000,5,11,"U",4,1873,1713.5,3,8012.4,0,0,0,0
403,11,249,"USA",11,"MDE",5,4,249,1,4,2,8,2,9805000000,5,11,"U",1,76,76,1,2670.8,0,0,0,0
403,11,249,"USA",11,"MDE",5,4,169,1,2,2,8,2,6203310000,5,11,"U",11,11,8.25,275,734470,0,0,0,0
403,11,249,"USA",11,"MDE",5,4,169,1,2,2,8,2,6203330000,5,11,"U",11,11,8.25,275,734470,0,0,0,0
403,11,149,"CAN",11,"MDE",5,4,169,1,2,2,8,2,603109090,5,11,"U",2,19,17.1,32.12,85786.1,0,0,0,0
403,11,249,"USA",5,"CLO",5,4,169,1,2,2,8,2,3002101900,5,33,"KG",0,3,2.7,26,69440.8,0,0,0,0
403,11,249,"USA",11,"MDE",5,4,169,1,2,2,8,2,4911100000,5,33,"KG",0,2,1.8,0.18,480.74,0,0,0,0
403,11,317,"GTM",11,"MDE",5,4,580,1,2,2,8,2,3923309090,5,11,"U",1750,64,60,87.5,233695,0,0,0,0
403,11,383,"ISR",11,"MDE",5,4,573,1,2,2,8,2,6105100000,5,11,"U",40,11.62,10.6,80,213664,0,0,0,0
403,11,383,"ISR",11,"MDE",5,4,573,1,2,2,8,2,6107110000,5,11,"U",42,6.1,5.57,42,112173.6,0,0,0,0
403,11,383,"ISR",11,"MDE",5,4,573,1,2,2,8,2,6115920000,5,19,"2U",84,3.05,2.78,21,56086.8,0,0,0,0
403,11,383,"ISR",11,"MDE",5,4,573,1,2,2,8,2,6203420000,5,11,"U",40,23.23,21.2,160,427328,0,0,0,0
403,11,249,"USA",3,"BOG",5,4,169,1,2,2,8,2,9013801000,5,11,"U",30,15,13,15,40062,0,0,0,0
403,11,47,"ANT",3,"BOG",5,4,169,1,2,2,8,2,4818400000,5,33,"KG",0,61,56,148.89,397655.41,0,0,0,0
403,11,589,"PER",3,"BOG",5,4,169,1,4,2,8,2,9805000000,5,11,"U",1,43,43,1,2670.8,0,0,0,0
403,11,580,"PAN",3,"BOG",5,4,169,1,2,2,8,2,3910001000,5,33,"KG",0,2.14,2,6.64,17734.11,0,0,0,0
403,11,580,"PAN",3,"BOG",5,4,169,1,2,2,8,2,3214101000,5,33,"KG",0,22.82,21.3,70.94,189466.55,0,0,0,0
403,11,580,"PAN",3,"BOG",5,4,169,1,2,2,8,2,3209100000,5,33,"KG",0,5.04,4.7,15.69,41904.85,0,0,0,0
403,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6103330000,5,11,"U",1,0.68,0.54,2,5341.6,0,0,0,0
403,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6107220000,5,11,"U",2,1.01,0.81,3,8012.4,0,0,0,0
403,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6111200000,5,11,"U",3,1.53,1.22,4.5,12018.6,0,0,0,0
403,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6111300000,5,11,"U",2,1.01,0.81,3,8012.4,0,0,0,0
403,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6104630000,5,11,"U",1,0.68,0.54,2,5341.6,0,0,0,0
403,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6104620000,5,11,"U",1,0.68,0.54,2,5341.6,0,0,0,0
403,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6104320000,5,11,"U",1,0.68,0.54,2,5341.6,0,0,0,0
403,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6108320000,5,11,"U",3,1.53,1.22,4.5,12018.6,0,0,0,0
403,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6112110000,5,11,"U",7,4.39,3.51,14,37391.2,0,0,0,0
403,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6112120000,5,11,"U",1,0.68,0.54,2,5341.6,0,0,0,0
