"FECH","ADUANA","PAIS","CODPAI","CODSALI1","CODSAL","DEPTO2","VIA4","BANDERA4","REGIMEN4","MODALI4","FORPAGO4","CERORI3","SISESP","POSARA","DEPTO4","UNIDAD4","CODUNI4","CANTIDA4","PBK","PNK","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
405,11,245,"ESP",3,"BOG",5,4,245,1,2,2,8,2,6212100000,5,11,"U",13,0.93,0.93,19.5,53028.89,0,0,0,0
405,11,245,"ESP",3,"BOG",5,4,245,1,2,2,8,2,6108220000,5,11,"U",17,1.22,1.22,17,46230.31,0,0,0,0
405,11,245,"ESP",3,"BOG",5,4,245,1,2,2,8,2,6115920000,5,19,"2U",6,0.06,0.06,6,16316.58,0,0,0,0
405,11,245,"ESP",3,"BOG",5,4,245,1,2,2,8,2,4909000000,5,11,"U",4,0.04,0.04,0.04,108.78,0,0,0,0
405,11,386,"ITA",3,"BOG",5,4,23,1,2,2,8,2,5203000000,5,33,"KG",0,69,50,87,236590.41,0,0,0,0
405,11,149,"CAN",11,"MDE",5,4,211,1,2,2,8,2,603109090,5,11,"U",15,5.62,5.06,1.5,4079.15,0,0,0,0
405,11,149,"CAN",11,"MDE",5,4,211,1,2,2,8,2,603105000,5,11,"U",1,0.38,0.34,0.1,271.94,0,0,0,0
405,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6212100000,5,11,"U",46,5.22,4.87,46,125093.78,0,0,0,0
405,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6108210000,5,11,"U",22,2.5,2.33,22,59827.46,0,0,0,0
405,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6108910000,5,11,"U",2,0.25,0.23,2,5438.86,0,0,0,0
405,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6108220000,5,11,"U",45,5.11,4.77,45,122374.35,0,0,0,0
405,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6109909000,5,11,"U",5,0.57,0.53,5,13597.15,0,0,0,0
405,11,850,"VEN",3,"BOG",5,4,169,1,2,2,8,2,6108920000,5,11,"U",4,0.46,0.43,4,10877.72,0,0,0,0
405,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6109909000,5,11,"U",6,0.67,0.61,6,16316.58,0,0,0,0
405,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6208220000,5,11,"U",3,0.34,0.31,3,8158.29,0,0,0,0
405,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6208210000,5,11,"U",1,0.11,0.1,1,2719.43,0,0,0,0
405,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6108320000,5,11,"U",6,0.67,0.61,6,16316.58,0,0,0,0
405,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6104320000,5,11,"U",1,0.12,0.11,1,2719.43,0,0,0,0
405,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6108310000,5,11,"U",2,0.11,0.1,1,2719.43,0,0,0,0
405,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6212100000,5,11,"U",49,3.23,2.9,94.17,256088.72,0,0,0,0
405,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6108220000,5,11,"U",70,5.28,4.79,48.4,131620.42,0,0,0,0
405,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6108210000,5,11,"U",17,0.45,0.4,13.34,36277.2,0,0,0,0
405,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6109100000,5,11,"U",13,0.48,0.43,18.39,50010.32,0,0,0,0
405,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6110309000,5,11,"U",2,0.04,0.03,4.53,12319.02,0,0,0,0
405,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6104620000,5,11,"U",8,12.18,10.42,13.75,37392.16,0,0,0,0
405,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6104630000,5,11,"U",4,0.15,0.13,7.86,21374.72,0,0,0,0
405,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6114200000,5,11,"U",2,0.02,0.02,2.81,7641.6,0,0,0,0
405,11,239,"ECU",3,"BOG",5,4,169,1,2,2,8,2,6104330000,5,11,"U",2,0.15,0.13,4.8,13053.26,0,0,0,0
405,11,27,"ABW",3,"BOG",5,4,169,1,2,2,8,2,3205000000,5,33,"KG",0,3,2.7,30,81582.9,0,0,0,0
405,11,249,"USA",11,"MDE",5,4,249,1,2,2,8,2,2106909900,5,33,"KG",0,138,124.2,218.84,595120.06,0,0,0,0
405,11,580,"PAN",11,"MDE",5,4,169,1,2,2,8,2,4911100000,5,33,"KG",0,74,66.6,120,326331.6,0,0,0,0
405,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,8418210090,5,11,"U",3,88,79.2,153,416072.79,0,0,0,0
405,11,628,"GBR",3,"BOG",5,4,445,1,2,2,8,2,4819100000,5,11,"U",4890,79,75,9.78,26596.03,0,0,0,0
405,11,249,"USA",5,"CLO",5,4,169,1,4,2,8,2,9805000000,5,11,"U",1,220,198,1,2719.43,0,0,0,0
405,11,589,"PER",3,"BOG",5,4,169,1,2,2,8,2,9021210000,5,11,"U",289,10.5,9,57.8,157183.05,0,0,0,0
405,11,589,"PER",3,"BOG",5,4,169,1,2,2,8,2,4823190000,5,33,"KG",0,10.5,9,57.8,157183.05,0,0,0,0
405,11,211,"CHL",11,"MDE",5,4,580,1,2,2,8,2,8516601000,5,11,"U",1,49,23.24,10,27194.3,0,0,0,0
405,11,647,"DOM",11,"MDE",5,4,580,1,2,2,8,2,602100000,5,11,"U",10,17,15.3,100,271943,0,0,0,0
405,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,3920100000,5,33,"KG",0,5.82,4.7,50,135971.5,0,0,0,0
405,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,3923210000,5,11,"U",80,1.86,1.5,4,10877.72,0,0,0,0
405,11,580,"PAN",11,"MDE",5,4,580,1,2,2,8,2,3924109000,5,11,"U",8,0.62,0.5,16,43510.88,0,0,0,0
405,11,149,"CAN",11,"MDE",11,4,580,1,2,2,8,2,2604000000,11,33,"KG",0,480,455,4.55,12373.41,0,0,0,0
405,11,249,"USA",11,"MDE",5,4,249,1,2,2,8,2,9618000000,5,11,"U",4,22,18,4,10877.72,0,0,0,0
405,11,249,"USA",11,"MDE",5,4,169,1,2,2,8,2,3926909090,5,33,"KG",0,19,17,10,27194.3,0,0,0,0
405,11,196,"CRI",11,"MDE",5,4,239,1,2,2,8,2,6106900000,5,11,"U",3,1.5,1,11.7,31817.33,0,0,0,0
405,11,196,"CRI",11,"MDE",5,4,239,1,2,2,8,2,6105100000,5,11,"U",8,1.5,1,29.3,79679.3,0,0,0,0
405,11,196,"CRI",11,"MDE",11,4,580,1,2,2,8,2,4202991000,11,11,"U",18,11.43,10.7,576,1566391.68,0,0,0,0
405,11,196,"CRI",11,"MDE",11,4,580,1,2,2,8,2,4420900000,11,11,"U",3,0.6,0.56,30.8,83758.44,0,0,0,0
405,11,196,"CRI",11,"MDE",11,4,580,1,2,2,8,2,4421909000,11,11,"U",1,0.09,0.08,4.4,11965.49,0,0,0,0
405,11,196,"CRI",11,"MDE",11,4,580,1,2,2,8,2,4419000000,11,11,"U",9,1.39,1.3,70.35,191311.9,0,0,0,0
405,11,611,"PRI",11,"MDE",5,4,580,1,2,2,8,2,7019909090,5,33,"KG",0,28.12,26.04,300,815829,0,0,0,0
405,11,611,"PRI",11,"MDE",5,4,580,1,2,2,8,2,8306290000,5,11,"U",2,5.15,4.77,55,149568.65,0,0,0,0
405,11,611,"PRI",11,"MDE",5,4,580,1,2,2,8,2,6217100000,5,11,"U",1,17.81,16.49,190,516691.7,0,0,0,0
405,11,611,"PRI",11,"MDE",5,4,580,1,2,2,8,2,6214900000,5,11,"U",1,1.4,1.3,15,40791.45,0,0,0,0
405,11,611,"PRI",11,"MDE",5,4,580,1,2,2,8,2,6302510000,5,11,"U",2,1.51,1.4,16,43510.88,0,0,0,0
405,11,249,"USA",11,"MDE",5,4,169,1,4,2,8,2,9805000000,5,11,"U",3,291,266.2,3,8158.29,0,0,0,0
405,11,245,"ESP",3,"BOG",5,4,169,1,4,2,8,2,9805000000,5,11,"U",1,67,65,1,2719.43,0,0,0,0
405,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6206300000,5,11,"U",21,8.59,7.88,21,57108.03,0,0,0,0
405,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6204620000,5,11,"U",33,13.49,12.38,33,89741.19,0,0,0,0
405,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6203420000,5,11,"U",46,18.8,17.25,46,125093.78,0,0,0,0
405,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6109100000,5,11,"U",28,11.44,10.5,28,76144.04,0,0,0,0
405,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6109909000,5,11,"U",4,1.63,1.5,4,10877.72,0,0,0,0
405,11,493,"MEX",11,"MDE",5,4,580,1,2,2,8,2,6104320000,5,11,"U",1,0.41,0.38,1,2719.43,0,0,0,0
