"FECH","ADUANA","PAIS","CODPAI","CODSALI1","CODSAL","DEPTO2","VIA4","BANDERA4","REGIMEN4","MODALI4","FORPAGO4","CERORI3","SISESP","POSARA","DEPTO4","UNIDAD4","CODUNI4","CANTIDA4","PBK","PNK","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
411,2,249,"USA",2,"BAQ",2,1,169,1,198,1,0,2,901212000,2,33,"KG",0,24200,24000,376857.6,953521330.9,0,0,0,0
411,2,249,"USA",2,"BAQ",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,155182.5,153900,287223.71,726730558.8,0,0,0,0
411,35,23,"DEU",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,56776.92,56307.69,366161.5,926458165.7,0,0,0,0
411,35,23,"DEU",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,4026214.5,3992940,7005035.42,17724070569,0,0,0,0
411,35,53,"SAU",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,18150,18000,31330.87,79273053.97,0,0,0,0
411,35,69,"AUS",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,157784,156480,282727.26,715353686,0,0,0,0
411,35,72,"AUT",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,127050,126000,210564,532766927.2,0,0,0,0
411,35,87,"BEL",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,1343402.5,1332300,2312956.54,5852219508,0,0,0,0
411,35,149,"CAN",35,"BUN",2,1,169,1,198,1,0,2,901212000,2,33,"KG",0,2236.97,2218.49,7121.76,18019405.93,0,0,0,0
411,35,149,"CAN",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,2311584,2292480,4153745.77,10509766010,0,0,0,0
411,35,149,"CAN",35,"BUN",2,1,169,1,198,1,0,2,901120000,2,33,"KG",0,9196,9120,15949.7,40355771.44,0,0,0,0
411,35,211,"CHL",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,37026,36720,67456.16,170676901.5,0,0,0,0
411,35,190,"KOR",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,1429433.5,1417620,2442455.83,6179877317,0,0,0,0
411,35,232,"DNK",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,188820.5,187260,329173.29,832870966.6,0,0,0,0
411,35,249,"USA",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,14287.31,14169.23,76464,193468448.2,0,0,0,0
411,35,249,"USA",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,14520665.5,14400660,26949992.39,68188601245,0,0,0,0
411,35,249,"USA",35,"BUN",2,1,169,1,198,1,0,2,901120000,2,33,"KG",0,17545,17400,30315,76702709.85,0,0,0,0
