"FECH","ADUANA","PAIS","CODPAI","CODSALI1","CODSAL","DEPTO2","VIA4","BANDERA4","REGIMEN4","MODALI4","FORPAGO4","CERORI3","SISESP","POSARA","DEPTO4","UNIDAD4","CODUNI4","CANTIDA4","PBK","PNK","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
410,2,399,"JPN",2,"BAQ",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,17605.5,17460,30374.75,78388117.32,0,0,0,0
410,35,23,"DEU",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,31483.27,31223.08,146244,377411890.8,0,0,0,0
410,35,23,"DEU",35,"BUN",2,1,169,1,198,1,0,2,901211000,2,33,"KG",0,2796.22,2773.11,14928.64,38526341.25,0,0,0,0
410,35,23,"DEU",35,"BUN",2,1,169,1,198,1,0,2,901212000,2,33,"KG",0,3355.46,3327.73,21670.72,55925627.1,0,0,0,0
410,35,23,"DEU",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,5263379,5219880,8890633.03,22944056661,0,0,0,0
410,35,63,"ARG",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,39506.5,39180,75248.09,194192745.9,0,0,0,0
410,35,69,"AUS",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,6748.08,6692.31,64320,165990624,0,0,0,0
410,35,69,"AUS",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,176055,174600,303153.86,782349166.5,0,0,0,0
410,35,87,"BEL",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,1810220.5,1795260,2967818.51,7659049229,0,0,0,0
410,35,149,"CAN",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,1547771.5,1534980,2753961.94,7107149579,0,0,0,0
410,35,211,"CHL",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,3257.69,3230.77,31809.51,82090802.46,0,0,0,0
410,35,211,"CHL",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,11313.5,11220,18852,48651356.4,0,0,0,0
410,35,211,"CHL",35,"BUN",2,1,169,1,198,1,0,2,901120000,2,33,"KG",0,2843.5,2820,6200,16000340,0,0,0,0
410,35,215,"CHN",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,35332,35040,59281,152986476.7,0,0,0,0
410,35,190,"KOR",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,3862.69,3830.77,37920,97860144,0,0,0,0
410,35,190,"KOR",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,1405536,1393920,2364818.09,6102886045,0,0,0,0
410,35,232,"DNK",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,359249,356280,630525.68,1627197622,0,0,0,0
410,35,239,"ECU",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,19406.54,19246.15,119204.93,307632162.9,0,0,0,0
410,35,249,"USA",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,28574.62,28338.46,141600,365427120,0,0,0,0
410,35,249,"USA",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,13235464,13126080,24189847.24,62426738772,0,0,0,0
410,35,245,"ESP",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,94440.5,93660,168290.91,434308351.4,0,0,0,0
410,35,245,"ESP",35,"BUN",2,1,169,1,198,1,0,2,901120000,2,33,"KG",0,19420.5,19260,33346.5,86057312.55,0,0,0,0
410,35,676,"RUS",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,122931.35,121915.38,993892.5,2564938375,0,0,0,0
410,35,271,"FIN",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,63525,63000,116568.85,300829231.2,0,0,0,0
410,35,275,"FRA",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,27597.31,27369.23,104331.4,269248044,0,0,0,0
410,35,275,"FRA",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,101216.5,100380,173240.05,447080597,0,0,0,0
410,35,573,"NLD",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,11797.5,11700,100620,259670034,0,0,0,0
410,35,573,"NLD",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,514613,510360,921444.29,2377971279,0,0,0,0
410,35,351,"HKG",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,13612.5,13500,71425,184326497.5,0,0,0,0
410,35,351,"HKG",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,52937.5,52500,85973.82,221872637.3,0,0,0,0
410,35,375,"IRL",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,19420.5,19260,34856.25,89953524.38,0,0,0,0
410,35,383,"ISR",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,13659.04,13546.15,123305,318213213.5,0,0,0,0
410,35,383,"ISR",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,113982,113040,205778.05,531051413.6,0,0,0,0
410,35,386,"ITA",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,150524,149280,265428.19,684990529.9,0,0,0,0
410,35,399,"JPN",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,88074.04,87346.15,723763.5,1867816464,0,0,0,0
410,35,399,"JPN",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,5864930.5,5816460,10470041.3,27020035583,0,0,0,0
410,35,431,"LBN",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,19420.5,19260,35473.32,91545996.92,0,0,0,0
410,35,538,"NOR",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,656425,651000,1096060.02,2828602094,0,0,0,0
410,35,548,"NZL",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,73568,72960,126623.61,326777550.3,0,0,0,0
410,35,580,"PAN",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,5258.85,5215.38,27699.99,71485364.19,0,0,0,0
410,35,589,"PER",35,"BUN",2,1,169,1,198,1,0,2,2101110000,2,33,"KG",0,17917.31,17769.23,134161.36,346230221.8,0,0,0,0
410,35,603,"POL",35,"BUN",2,1,169,1,198,1,0,2,901110000,2,33,"KG",0,60137,59640,107400.76,277169141.3,0,0,0,0
