"FECH","ADUANA","PAIS","CODPAI","CODSALI1","CODSAL","DEPTO2","VIA4","BANDERA4","REGIMEN4","MODALI4","FORPAGO4","CERORI3","SISESP","POSARA","DEPTO4","UNIDAD4","CODUNI4","CANTIDA4","PBK","PNK","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
409,35,239,"ECU",35,"BUN",11,1,434,1,198,1,2,1,8418999000,11,11,"U",8809,21544.79,19543.19,36610.73,93459139.33,25460.22,1450,0,0
409,35,211,"CHL",35,"BUN",25,1,538,1,198,1,2,1,7312109000,25,33,"KG",0,18889,16965,24173.54,61709729.44,19066.58,0,0,0
409,35,589,"PER",35,"BUN",11,1,580,1,198,1,8,1,3924109000,11,11,"U",4200,825.82,767.05,2750.7,7021931.95,2429.05,0,0,0
409,35,589,"PER",35,"BUN",11,1,580,1,198,1,8,1,3923309090,11,11,"U",9436,674.18,626.2,4819.8,12303889.04,4644.52,0,0,0
409,35,589,"PER",35,"BUN",11,1,580,1,198,1,8,1,3923500090,11,11,"U",4200,737.94,685.42,1890,4824754.2,1656.42,0,0,0
409,35,589,"PER",35,"BUN",11,1,580,1,198,1,8,1,9617000000,11,11,"U",120,1217.55,1130.9,4753.2,12133873.9,4472.51,0,0,0
409,35,589,"PER",35,"BUN",11,1,580,1,198,1,8,1,3924900000,11,11,"U",300,70.09,65.1,267.9,683889.76,263.65,0,0,0
409,35,239,"ECU",35,"BUN",11,1,221,1,198,1,1,1,8503000000,11,11,"U",69,285.31,244,1162.1,2966585.64,1162.1,0,0,0
409,35,239,"ECU",35,"BUN",11,1,221,1,198,1,1,1,8501401900,11,11,"U",30,760.04,650,1439.4,3674471.53,1439.4,0,0,0
409,35,239,"ECU",35,"BUN",11,1,221,1,198,1,1,1,8501402900,11,11,"U",10,245.55,210,548.2,1399434,548.2,0,0,0
409,35,239,"ECU",35,"BUN",11,1,221,1,198,1,1,1,8501403900,11,11,"U",6,147.33,126,474.24,1210630.39,474.24,0,0,0
409,35,239,"ECU",35,"BUN",11,1,221,1,198,1,1,1,8501519000,11,11,"U",106,2680.95,2292.78,4125.96,10532668.17,4125.96,0,0,0
409,35,239,"ECU",35,"BUN",11,1,221,1,198,1,1,1,8501523000,11,11,"U",2,52.62,45,1202.1,3068696.84,1202.1,0,0,0
409,35,239,"ECU",35,"BUN",11,1,221,1,198,1,1,1,8501524000,11,11,"U",1,29.23,25,1062.1,2711307.64,1062.1,0,0,0
409,35,589,"PER",35,"BUN",11,1,221,1,198,1,1,1,8501519000,11,11,"U",50,1420.37,1256,1775.16,4531592.94,1775.16,0,0,0
409,35,589,"PER",35,"BUN",11,1,221,1,198,1,1,1,8501521090,11,11,"U",300,8525.63,7539,19192.14,48993311.15,19192.14,0,0,0
409,35,589,"PER",35,"BUN",11,1,221,1,198,1,1,1,8501522000,11,11,"U",23,652.51,577,4670.2,11921993.16,4670.2,0,0,0
409,35,589,"PER",35,"BUN",11,1,221,1,198,1,1,1,8501523000,11,11,"U",7,192.25,170,3068.23,7832516.18,3068.23,0,0,0
409,35,589,"PER",35,"BUN",11,1,221,1,198,1,1,1,8501524000,11,11,"U",19,537.16,475,3510.79,8962274.5,3510.79,0,0,0
409,35,589,"PER",35,"BUN",11,1,221,1,198,1,1,1,8503000000,11,11,"U",120,182.07,161,653.7,1668752.29,653.7,0,0,0
