"FECH","ADUANA","PAIS4","CODPAI4","CODSAL3","ODSAL3","DEPTOPROCED","VIA4","BANDERA4","REGIMEN4","MODAD4","FORPA4","CERORI3","SISESP4","POSARA","DPTOR4","UNIDAD4","CODUNI4","CANTIDA4","PBK4","PNK4","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
508,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,6302600000,"08",11,"U",54100,9807.01,8940,63792,147096059.1,50134.15,1599.11,0,0
508,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,6306910000,"08",11,"U",4042,9093.95,8735.95,73040.46,168711045.7,54780.34,2150,0,0
508,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,9506690000,"08",11,"U",5170000,19000.03,16414,51081.8,117787990.2,23149.61,0,0,0
508,"02",23,"DEU",2,"BAQ","08",1,"573",1,"198",1,8,2,9601900000,"08",11,"U",406035,37800,33836.33,10151,23413383.01,0,0,0,0
508,"02",23,"DEU",3,"BOG","08",4,"023",1,"198",1,8,1,9503900000,"08",11,"U",15000,54,51.36,870,2004706.2,699.13,382.51,12,0
508,"02",23,"DEU",3,"BOG","08",4,"023",1,"198",1,8,2,510001000,"08",33,"KG",2,5,2,17000,39172420,0,0,0,0
508,"02",23,"DEU",3,"BOG","08",4,"169",1,"198",1,6,1,6306910000,"08",11,"U",628,1352,1220,12684.06,29268026.8,9142.54,3323.03,0,0
508,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,2,2523210000,"05",33,"KG",84000,84600,84000,11760,27098097.6,0,0,0,0
508,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,1,6802210000,"08",82,"M2",1000,12440.5,12440.5,21600,49892328,14616,0,0,0
508,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,1,6802230000,"08",82,"M2",226.96,2823.5,2823.5,13617.6,31454341.01,8171,0,0,0
508,"02",27,"ABW",2,"BAQ","08",1,"434",1,"002",2,8,2,4421909000,"08",11,"U",1,15,15,5,11549.15,0,0,0,0
508,"02",27,"ABW",2,"BAQ","08",1,"434",1,"002",2,8,2,6802210000,"08",82,"M2",1.02,51,51,20,46196.6,0,0,0,0
508,"02",27,"ABW",2,"BAQ","08",1,"573",1,"198",1,8,1,7007190000,"08",82,"M2",284.48,7000,6000,8471.81,19521591.78,3300.78,0,0,0
508,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1704901000,"05",33,"KG",620.8,684.86,620.8,893.6,2061097.34,841.38,0,0,0
508,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905310000,"05",33,"KG",21512.16,30839.7,21512.16,38635.92,89128317.73,35425.02,0,0,0
508,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905901000,"05",33,"KG",3394.61,8878.03,3394.61,8101.2,18692882.7,6237.46,0,0,0
508,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,7321119000,"05",11,"U",2,90,90,1896,4371929.52,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,1,1101000000,"08",33,"KG",52000,52000,52000,16918,38979521.65,10150,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,1,9603290000,"08",11,"U",3252,256.44,230.73,3491.16,8028795.21,3129.92,0,0,30.51
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,1,9615110000,"08",11,"U",492,530.41,477.24,2817.94,6480557.52,2463.18,0,0,24.63
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,1,9615900000,"08",11,"U",987,1071.89,964.44,3987.65,9170598.09,3561.51,0,0,34.85
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,6811100000,"08",82,"M2",28866.84,359537.8,359537.8,81045.3,186747224.5,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,6811900000,"08",33,"KG",5080,5080,5080,4046,9324671.7,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,9403200000,"08",11,"U",24,464.28,441.07,680,1567991.6,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,9403500000,"08",11,"U",35,3391.34,3221.77,4967,11453256.29,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,9403600000,"08",11,"U",4,535.29,508.53,784,1807802.08,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,9404290000,"08",11,"U",72,5019.09,4768.13,7351,16950450.37,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",2,8,2,711300000,"08",33,"KG",590,642.21,590,1025,2357243.75,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",2,8,2,712310000,"08",33,"KG",490,533.36,490,912.5,2098521.88,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",2,8,2,806200000,"08",33,"KG",137.5,149.67,137.5,400,919900,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",2,8,2,2001901000,"08",33,"KG",667,726.02,667,1142.5,2627464.38,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",2,8,2,2002900000,"08",33,"KG",12848.6,13985.63,12848.6,11918.7,27410030.33,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",2,8,2,2004900000,"08",33,"KG",832.5,906.17,832.5,1470,3380632.5,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",2,8,2,2008920000,"08",33,"KG",349,379.88,349,380,873905,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",2,8,2,2103200000,"08",33,"KG",1127,1226.73,1127,600,1379850,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",2,8,2,2103901000,"08",33,"KG",3511.5,3822.25,3511.5,3500,8049125,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",2,8,2,2209000000,"08",61,"L",1242,2018.07,1854,880,2023780,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,201100000,"08",33,"KG",7076,7126.41,7076,13090.6,30226947.57,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,201200000,"08",33,"KG",180,181.28,180,327.6,756462.79,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,201300010,"08",33,"KG",264,265.89,264,1441,3327420.31,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,201300090,"08",33,"KG",18025,18204.54,18025,19918.51,45987255.74,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,204210000,"08",33,"KG",8360,8419.75,8360,18810,43434982.8,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"434",1,"198",1,8,2,206100000,"08",33,"KG",1000,1007.14,1000,500,1154552.5,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,201100000,"08",33,"KG",7540,7583.67,7540,13949,32173577.74,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,201200000,"08",33,"KG",108,108.62,108,196.56,453368.59,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,201300010,"08",33,"KG",469,471.64,469,2701.75,6232742.67,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,201300090,"08",33,"KG",14360,14442.88,14360,21533.34,49667996.38,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,204210000,"08",33,"KG",10450,10510.32,10450,23512.5,54233029.13,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,206100000,"08",33,"KG",1750,1759.85,1750,875,2018532.5,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,410000000,"08",33,"KG",1.3,1.44,1.3,479.01,1105406.59,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,1905400000,"08",33,"KG",2000,2386,2000,2297.95,5302956.24,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,2005200000,"08",33,"KG",400,477.2,400,1991.38,4595487.71,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,2515120000,"08",33,"KG",1,1.19,1,0.29,669.23,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,3004902900,"08",33,"KG",80,95.44,80,623.52,1438890.87,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,3303000000,"08",33,"KG",653.2,779.3,653.2,440.81,1017252.83,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,3304100000,"08",33,"KG",90,107.37,90,390.88,902029.87,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,3304200000,"08",33,"KG",20,23.86,20,234.38,540876.38,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,3304300000,"08",33,"KG",5.62,6.18,5.62,385.19,888899.11,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,3304910000,"08",33,"KG",125.54,149.77,125.54,492.98,1137645.02,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,3304990000,"08",33,"KG",140,167.03,140,1829.85,4222726.54,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,3305100000,"08",33,"KG",456.06,544.09,456.06,1094.13,2524912.86,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,3305900000,"08",33,"KG",375,447.39,375,5517.78,12733325.72,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,3923210000,"08",11,"U",21000,143.17,120,432.66,998445.16,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,3925200000,"08",11,"U",12,596.52,500,1286.24,2968243.19,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,6810190000,"08",82,"M2",1,23.86,20,0.52,1200,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,7610900000,"08",33,"KG",500,596.52,500,2599.04,5997778.62,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,8516500000,"08",11,"U",1,2.39,2,67.16,154984.46,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"573",1,"198",1,8,2,9403500000,"08",11,"U",1,119.3,100,345.3,796845.36,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,1,3924109000,"13",11,"U",66500,840,811,2638.75,6077569,1654.5,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,1,6904900000,"08",11,"U",3000,6047.51,6000,729,1680979.23,729,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,1,6905100000,"08",11,"U",71331,71468.09,71315.6,13437.6,30985358.71,13437.6,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,2,3924900000,"25",11,"U",288,128.61,119,144,332137.44,0,0,0,65.46
508,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,2,7317000000,"05",33,"KG",18825,19940,18825,17788.5,41029353.14,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"580",1,"198",1,8,2,9603909000,"25",11,"U",1822,1041.39,963.6,1835.98,4234706.23,0,0,0,834.54
508,"02",47,"ANT",2,"BAQ","08",1,"580",1,"002",2,8,2,6904900000,"08",11,"U",100,240,240,1,2305.87,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"580",1,"002",2,8,2,6905100000,"08",11,"U",124,116.8,116.8,0.48,1106.82,0,0,0,0
508,"02",47,"ANT",2,"BAQ","08",1,"580",1,"002",2,8,2,6907900000,"08",82,"M2",3.36,217,217,0.95,2190.58,0,0,0,0
508,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,3401191000,"11",33,"KG",50,50,50,130,299763.1,0,0,0,0
508,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,3920990000,"11",33,"KG",25,25,25,50,115293.5,0,0,0,0
508,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,7006000000,"11",33,"KG",100,100,100,220,507291.4,0,0,0,0
508,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,7211900000,"11",33,"KG",100,100,100,125,288233.75,0,0,0,0
508,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,7317000000,"11",33,"KG",1200,1200,1200,450,1037641.5,0,0,0,0
508,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,7321119000,"11",11,"U",2,50,50,80,184469.6,0,0,0,0
508,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,7321130000,"11",11,"U",1,67.77,66.67,50,115293.5,0,0,0,0
508,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,7605290000,"11",33,"KG",500,500,500,205,472703.35,0,0,0,0
508,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,8418699200,"11",11,"U",1,31,31,200,461174,0,0,0,0
508,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,8424200000,"11",11,"U",20,25,25,120,276704.4,0,0,0,0
508,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,8448420000,"11",11,"U",1,7.15,6.5,100,230587,0,0,0,0
508,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,9401500000,"11",11,"U",20,764,764,1200,2767044,0,0,0,0
508,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,9401690000,"11",11,"U",75,1200,1200,1500,3458805,0,0,0,0
508,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,9403600000,"11",11,"U",19,1500,1500,2500,5764675,0,0,0,0
508,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,9403800000,"11",11,"U",61,210,210,900,2075283,0,0,0,0
508,"02",47,"ANT",2,"BAQ","11",1,"047",1,"198",1,8,2,9405109000,"11",11,"U",21,100,100,170,391997.9,0,0,0,0
508,"02",47,"ANT",2,"BAQ","17",1,"023",1,"198",1,6,1,6811100000,"17",82,"M2",2061.57,26010.73,25460.73,5794.44,13364933.8,3936.16,0,0,0
508,"02",47,"ANT",2,"BAQ","17",1,"037",1,"198",1,6,1,6811100000,"17",82,"M2",6056.3,76256.76,74756.76,17054.1,39324537.57,11584.85,0,0,0
508,"02",47,"ANT",2,"BAQ","47",1,"434",1,"198",1,8,2,803001200,"47",33,"KG",19954,22000,19954,6100,14055986,0,0,0,0
508,"02",47,"ANT",2,"BAQ","47",1,"573",1,"198",1,8,2,803001200,"47",33,"KG",19827.02,21860,19827.02,6558,15131929.2,0,0,0,0
508,"02",47,"ANT",3,"BOG","08",4,"169",1,"198",1,8,2,3924109000,"08",11,"U",50,19,16.5,135,311827.05,0,0,0,0
508,"02",47,"ANT",3,"BOG","08",4,"169",1,"198",1,8,2,7003121000,"08",82,"M2",6.46,155,110,172.6,397532.32,0,0,0,0
508,"02",63,"ARG",2,"BAQ","08",1,"043",1,"198",1,2,1,3808209090,"08",33,"KG",72000,77280,72000,163680,377726208,154992,0,0,0
508,"02",63,"ARG",2,"BAQ","08",1,"827",1,"198",1,2,1,3808209090,"08",33,"KG",24000,25760,24000,50400,116342352,47376,0,0,0
508,"02",63,"ARG",2,"BAQ","08",1,"827",1,"198",1,8,1,2928001000,"08",33,"KG",15200,16640,15200,36966.4,85332498.43,21259.38,950,83.6,0
508,"02",63,"ARG",3,"BOG","08",4,"169",1,"198",1,2,1,9602001000,"08",33,"KG",791,1146,791,26521.18,61237378,24850.34,4308.55,0,0
508,"02",69,"AUS",2,"BAQ","08",1,"043",1,"198",1,8,1,3808209090,"08",33,"KG",22400,24640,22400,49056,113116758.7,46112.64,2106,134,0
508,"02",69,"AUS",2,"BAQ","47",1,"043",1,"004",2,8,2,9805000000,"47",11,"U",81,2100,2100,2000,4614800,0,0,0,0
508,"02",69,"AUS",3,"BOG","08",4,"169",1,"198",1,8,2,3916900000,"08",33,"KG",2374,2468.2,2374,4550,10498670,0,1503.74,15.13,0
508,"02",69,"AUS",3,"BOG","08",4,"169",1,"198",1,8,2,9503900000,"08",11,"U",4000,4.72,4.54,96,221510.4,0,31.73,0.32,0
508,"02",81,"BGD",2,"BAQ","08",1,"043",1,"198",1,8,1,2530900000,"08",33,"KG",63000,63300,63000,22808.02,52545486.6,22643.8,5542,0,0
508,"02",83,"BRB",2,"BAQ","08",1,"043",1,"198",1,4,2,3102210000,"08",33,"KG",25000,25075,25000,4625,10676442.5,0,1375,0,0
508,"02",83,"BRB",2,"BAQ","08",1,"434",1,"198",1,4,1,2835260000,"08",33,"KG",50000,50150,50000,16100,37058014,9299.04,2650,0,0
