"FECH","ADUANA","PAIS4","CODPAI4","CODSAL3","ODSAL3","DEPTOPROCED","VIA4","BANDERA4","REGIMEN4","MODAD4","FORPA4","CERORI3","SISESP4","POSARA","DPTOR4","UNIDAD4","CODUNI4","CANTIDA4","PBK4","PNK4","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
512,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,6302600000,"08",11,"U",45428,14048.02,12692,94858.6,216090238.3,74393.65,2700.82,0,0
512,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,8,2,7204210000,"08",33,"KG",18990,18990,18990,18857,43052605.27,0,0,0,0
512,"02",23,"DEU",2,"BAQ","08",1,"043",1,"004",2,8,2,9805000000,"08",11,"U",1,9890,6020,1000,2274390,0,0,0,0
512,"02",23,"DEU",2,"BAQ","08",1,"434",1,"198",1,8,2,503000000,"08",33,"KG",6500,6515,6500,9100,20706777,0,0,0,0
512,"02",23,"DEU",2,"BAQ","08",1,"434",1,"198",1,8,2,9601900000,"08",11,"U",867840,75000,72320,21872.6,49758810.71,0,0,0,0
512,"02",23,"DEU",2,"BAQ","08",4,"023",1,"002",2,8,2,4911100000,"08",33,"KG",8,8.19,8,5,11370.3,0,0,0,0
512,"02",23,"DEU",2,"BAQ","08",4,"023",1,"002",2,8,2,6302600000,"08",11,"U",132,78.81,77,74.5,169417.47,0,0,0,0
512,"02",23,"DEU",3,"BOG","08",4,"023",1,"198",1,8,2,510001000,"08",33,"KG",2,5,2,16000,36407200,0,0,0,0
512,"02",23,"DEU",3,"BOG","08",4,"023",1,"002",2,8,2,6302600000,"08",11,"U",788,431,395,591,1348874.76,0,0,0,0
512,"02",23,"DEU",3,"BOG","08",4,"169",1,"198",1,6,2,6306910000,"08",11,"U",197,365,350,2672.29,6087075.78,0,0,0,0
512,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,1,6802210000,"08",82,"M2",294.69,13464.23,13464.23,10803.54,24665670.21,7670,0,0,0
512,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,1,6802230000,"08",82,"M2",266.49,12175.77,12175.77,10659.6,24337039.36,3411,0,0,0
512,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,1,6802210000,"08",82,"M2",744.38,16730.7,16730.7,22578.83,51348549.4,12956,0,0,0
512,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,1,6802230000,"08",82,"M2",218,429.3,429.3,725.8,1650607.1,218,0,0,0
512,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,2,3925200000,"08",11,"U",2053,6000,3000,22255,50612098.45,0,0,0,0
512,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,2,6802210000,"08",82,"M2",3,50,50,100,227419,0,0,0,0
512,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,2,6811100000,"08",82,"M2",1851.96,21021,21021,10073.5,22909052.97,0,0,0,0
512,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,2,6811900000,"08",33,"KG",547.5,547.5,547.5,750,1705642.5,0,0,0,0
512,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,2,6904100000,"08",13,"MIL",2,2000,1000,520,1182578.8,0,0,0,0
