"FECH","ADUANA","PAIS4","CODPAI4","CODSAL3","ODSAL3","DEPTOPROCED","VIA4","BANDERA4","REGIMEN4","MODAD4","FORPA4","CERORI3","SISESP4","POSARA","DPTOR4","UNIDAD4","CODUNI4","CANTIDA4","PBK4","PNK4","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
502,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,6302600000,"08",11,"U",136814,24532.96,22367,182617.84,424170807.1,106086.97,3949.39,0,0
502,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,9603290000,"08",11,"U",4820,487.39,434.05,3964.61,9364091.65,3263.79,1284.76,4.94,0
502,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,9615110000,"08",11,"U",41,41.01,33.18,114.75,271030.32,97.39,34.43,0,0
502,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,9615900000,"08",11,"U",730,722.11,714.26,2826.67,6676368.41,2335.23,1094.81,12.82,0
502,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,2,1604141000,"08",33,"KG",15540,19250,15540,20580,47577461.4,0,0,0,0
502,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,2,9615110000,"08",11,"U",35,27.8,27.15,70.58,166704.31,0,0,0,0
502,"02",23,"DEU",2,"BAQ","08",1,"573",1,"198",1,6,1,6306910000,"08",11,"U",3476,9250,6700.55,56755.42,130253121.4,42566.58,2200.01,0,0
502,"02",23,"DEU",2,"BAQ","08",1,"827",1,"198",1,6,1,3808209090,"08",33,"KG",43200,48400,43200,91584,214859727.4,84257.28,2412,180,0
502,"02",23,"DEU",2,"BAQ","11",4,"047",1,"198",1,6,1,3921120000,"11",33,"KG",12121.66,12302.57,12121.66,76762.2,181306175.4,48246.42,861.17,23.25,0
502,"02",23,"DEU",3,"BOG","08",4,"023",1,"198",1,8,2,510001000,"08",33,"KG",2,5,2,12600,29783250,0,0,0,0
502,"02",23,"DEU",3,"BOG","08",4,"023",1,"198",1,8,2,1301909000,"08",33,"KG",625,680,625,26250,61583550,0,0,0,0
502,"02",27,"ABW",2,"BAQ","08",1,"472",1,"198",1,8,2,6811100000,"08",82,"M2",1706.05,19364.8,19364.8,9742.8,23029543.5,0,0,0,0
502,"02",27,"ABW",2,"BAQ","08",1,"573",1,"198",1,8,1,2523210000,"05",33,"KG",224000,225600,224000,31360,72696243.2,31046.4,0,0,0
502,"02",27,"ABW",2,"BAQ","11",1,"043",1,"002",2,8,2,4911100000,"11",33,"KG",38.4,48,38.4,45,104315.4,0,0,0,0
502,"02",27,"ABW",2,"BAQ","25",1,"043",1,"198",1,8,2,2007991100,"25",33,"KG",348,460.57,348,510,1182241.2,0,0,0,0
502,"02",27,"ABW",2,"BAQ","25",1,"043",1,"198",1,8,2,2007999100,"25",33,"KG",1461.6,1934.4,1461.6,2142,4965413.04,0,0,0,0
502,"02",27,"ABW",2,"BAQ","25",1,"043",1,"198",1,8,2,2202900000,"25",61,"L",3528,4669.23,3528,2987,6924224.44,0,0,0,0
502,"02",27,"ABW",2,"BAQ","25",1,"580",1,"198",1,8,1,401100000,"25",61,"L",1200,1347.51,1200,708,1641228.96,545.16,0,0,0
502,"02",27,"ABW",2,"BAQ","25",1,"580",1,"198",1,8,1,401200000,"25",61,"L",5943,6673.55,5943,3678.9,8528131.67,2890.54,0,0,0
502,"02",27,"ABW",2,"BAQ","25",1,"580",1,"198",1,8,1,2202900000,"25",61,"L",11958,13427.94,11958,10098,23408375.76,7839.67,0,0,0
502,"02",43,"ATG",2,"BAQ","08",1,"043",1,"198",1,1,1,7605110000,"08",33,"KG",20422,20722,20422,43979.21,103972569.7,5607.78,940,0,0
502,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905310000,"05",33,"KG",33764.4,37253.99,33764.4,44748,105649461.7,39858.82,0,0,0
502,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905320000,"05",33,"KG",842.4,939.46,842.4,1512,3574564.56,1316.83,0,0,0
502,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905901000,"05",33,"KG",1128,1257.96,1128,1824,4312173.12,1618.53,0,0,0
