"FECH","ADUANA","PAIS4","CODPAI4","CODSAL3","ODSAL3","DEPTOPROCED","VIA4","BANDERA4","REGIMEN4","MODAD4","FORPA4","CERORI3","SISESP4","POSARA","DPTOR4","UNIDAD4","CODUNI4","CANTIDA4","PBK4","PNK4","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
507,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,6302600000,"08",11,"U",48626,9727.98,8864,65033.7,151575345.2,51290.71,1422.38,0,0
507,"02",23,"DEU",2,"BAQ","08",1,"434",1,"198",1,6,1,9506690000,"08",11,"U",5258000,19323,16694,46406.8,107881423.9,22074.5,0,0,0
507,"02",23,"DEU",2,"BAQ","08",1,"827",1,"198",1,6,1,9506690000,"08",11,"U",5258000,19323.01,16694,46083.4,107194135.9,22026.62,0,0,0
507,"02",23,"DEU",2,"BAQ","08",1,"827",1,"198",1,8,1,9503900000,"08",11,"U",396000,1335.99,1264.78,13335.4,30890387.27,9726.73,1396,36.83,0
507,"02",23,"DEU",3,"BOG","08",4,"023",1,"198",1,8,2,510001000,"08",33,"KG",2,5,2,19000,43941870,0,0,0,0
507,"02",23,"DEU",3,"BOG","08",4,"169",1,"198",1,6,1,6306910000,"08",11,"U",480,880,855,8278.88,19151267.8,5954.64,2485.35,0,0
507,"02",23,"DEU",3,"BOG","08",4,"169",1,"198",1,6,2,6306910000,"08",11,"U",233,388,370,2606.24,6058700.07,0,0,0,0
507,"02",23,"DEU",3,"BOG","08",4,"445",1,"198",1,6,1,9615900000,"08",11,"U",216,208.66,208.66,1106.18,2558295.67,912.7,0,0,0
507,"02",23,"DEU",3,"BOG","08",4,"573",1,"198",1,8,2,4602100000,"08",11,"U",17,129,47,215,502854.9,0,0,0,0
507,"02",23,"DEU",11,"MDE","47",4,"169",1,"199",2,8,2,8542900000,"47",11,"U",9,32.3,29.36,9000,22611600,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,1,6905100000,"08",11,"U",91121,91910.4,91113.6,16299.36,38110674.57,16299.36,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,1,6905900000,"08",11,"U",100,369.2,366,1820,4255469.4,1820,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,1,8507100000,"08",11,"U",396,7978.33,7748.99,7598.98,17772950.36,7361.78,1369.43,44.58,0
507,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,2,8507100000,"08",11,"U",122,2457.97,2387.31,2944.12,6885884.5,0,530.57,17.27,0
507,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,1,6802210000,"08",82,"M2",302.63,11456.06,11453,12618.36,29351441.02,9149,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,1,6802230000,"08",82,"M2",103.29,3493.93,3493,3925.02,9129949.77,1256,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,2,6811100000,"08",82,"M2",1795.84,20384,20384,9464,22014115.76,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"434",1,"199",1,8,2,7216400000,"08",33,"KG",4200.96,4200.96,4200.96,3463.3,7991218.42,0,399.53,4.74,0
507,"02",27,"ABW",2,"BAQ","08",1,"434",1,"199",1,8,2,7216500000,"08",33,"KG",38748.2,38748.2,38748.2,34902.1,80533105.54,0,4026.31,47.74,0
507,"02",27,"ABW",2,"BAQ","08",1,"434",1,"199",1,8,2,7306600000,"08",33,"KG",4183.98,4183.98,4183.98,4792.7,11058675.98,0,552.89,6.55,0
507,"02",27,"ABW",2,"BAQ","08",1,"434",1,"199",1,8,2,7314200000,"08",33,"KG",5856,5856,5856,4362.7,10066493.98,0,503.28,5.97,0
507,"02",27,"ABW",2,"BAQ","08",1,"445",1,"198",1,8,2,3506990000,"08",33,"KG",50,123.65,50,481.41,1115147.75,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"445",1,"198",1,8,2,3920100000,"08",33,"KG",20,49.46,20,129.65,300323.85,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"445",1,"198",1,8,2,3922101000,"08",11,"U",6,1236.47,500,1619.58,3751627.5,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"445",1,"198",1,8,2,3925200000,"08",11,"U",2,247.29,100,731.64,1694785.53,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"445",1,"198",1,8,2,4409101000,"08",67,"M3",6,1211.74,490,1652.19,3827165.96,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"445",1,"198",1,8,2,4601910000,"08",82,"M2",29.72,123.65,50,1024.93,2374168.35,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"445",1,"198",1,8,2,6801000000,"08",82,"M2",0.1,123.65,50,5,11582.1,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"445",1,"198",1,8,2,6809900000,"08",82,"M2",207.36,247.29,100,1211.42,2806157.52,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"445",1,"198",1,8,2,6810190000,"08",82,"M2",0.1,247.29,100,5.14,11906.4,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"445",1,"198",1,8,2,6908900000,"08",82,"M2",86.4,1236.47,500,1891.28,4380998.82,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"445",1,"198",1,8,2,6910100000,"08",11,"U",8,1483.76,600,1900.42,4402170.9,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"445",1,"198",1,8,2,7005211090,"08",82,"M2",0.3,148.38,60,809.79,1875813.75,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"445",1,"198",1,8,2,7007190000,"08",82,"M2",83.82,207.28,83.82,8077.58,18711067.86,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"445",1,"198",1,8,2,7326900090,"08",11,"U",68,49.46,20,2568.5,5949724.77,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"445",1,"198",1,8,2,8481801000,"08",11,"U",10,74.19,30,1118.95,2591958.16,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"445",1,"198",1,8,2,9401300000,"08",11,"U",2,148.38,60,350.68,812322.17,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"445",1,"198",1,8,2,9401790000,"08",11,"U",6,296.75,120,1122.76,2600783.72,0,0,0,0
507,"02",27,"ABW",2,"BAQ","08",1,"445",1,"198",1,8,2,9403300000,"08",11,"U",4,148.38,60,858.74,1989202.51,0,0,0,0
