"FECH","ADUANA","PAIS4","CODPAI4","CODSAL3","ODSAL3","DEPTOPROCED","VIA4","BANDERA4","REGIMEN4","MODAD4","FORPA4","CERORI3","SISESP4","POSARA","DPTOR4","UNIDAD4","CODUNI4","CANTIDA4","PBK4","PNK4","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
506,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,6302600000,"08",11,"U",30692,4925.99,4493,34104.7,79495664.96,26742.02,1729.33,0,0
506,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,9506690000,"08",11,"U",10394000,38831.02,33636,93418.5,218341081.6,44589.37,0,0,0
506,"02",23,"DEU",2,"BAQ","08",1,"047",1,"198",1,6,1,3921120000,"11",33,"KG",11250.81,11436.37,11250.81,38282.09,88786502.87,22894.22,914.91,13.73,0
506,"02",23,"DEU",2,"BAQ","08",1,"047",1,"198",1,6,1,9615110000,"08",11,"U",1472,1675,1464,6514.2,15294234.84,4644.35,1522,27.8,0
506,"02",23,"DEU",2,"BAQ","08",1,"047",1,"198",1,6,2,3921120000,"11",33,"KG",381.55,423.26,381.55,5894.5,13670937.01,0,25,2.07,0
506,"02",23,"DEU",2,"BAQ","08",1,"434",1,"198",1,8,2,210200000,"08",33,"KG",3052.55,3500,3052.55,12536.5,29075528.36,0,0,0,0
506,"02",23,"DEU",2,"BAQ","08",1,"573",1,"198",1,8,2,9601900000,"08",11,"U",456516,38180,38043,11413,26469828.51,0,0,0,0
506,"02",23,"DEU",2,"BAQ","08",1,"827",1,"198",1,6,1,9506690000,"08",11,"U",15356000,56429,48750,155377.2,364190791.8,71956.73,0,0,0
506,"02",23,"DEU",2,"BAQ","13",4,"169",1,"199",2,8,2,8501524000,"13",11,"U",2,250,222,4848,11297440.32,0,0,0,0
506,"02",23,"DEU",3,"BOG","08",4,"023",1,"198",1,8,1,6406100000,"08",11,"U",600,138,138,4200,9866513.58,1147.02,0,0,0
506,"02",23,"DEU",3,"BOG","08",4,"023",1,"198",1,8,2,510001000,"08",33,"KG",2,5,2,18000,41765220,0,0,0,0
506,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,2,202200000,"08",33,"KG",21800,22526.67,21800,27443.73,64372015.84,0,3314.56,108.25,0
506,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,2,202300000,"08",33,"KG",1000,1033.33,1000,2103.17,4933195.76,0,254.01,8.3,0
506,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,2,206290000,"08",33,"KG",1200,1240,1200,963.94,2261017.76,0,116.42,3.8,0
506,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,2,6811100000,"08",82,"M2",4130.41,20384,20384,9873.7,22938480.12,0,0,0,0
506,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,2,6811900000,"08",33,"KG",483,483,483,450,1045435.46,0,0,0,0
506,"02",27,"ABW",2,"BAQ","08",1,"628",1,"198",1,8,1,2523210000,"05",33,"KG",140000,141000,140000,19320,44903930.4,19126.8,0,0,0
506,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1704101000,"05",33,"KG",290.4,341.77,290.4,827.28,1933063.73,818.57,0,0,0
506,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1704901000,"05",33,"KG",3289.6,3871.59,3289.6,5412.8,12647818.57,5104.58,0,0,0
506,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905310000,"05",33,"KG",6412.8,7547.35,6412.8,9451.2,22084145.54,8483.25,0,0,0
