"FECH","ADUANA","PAIS4","CODPAI4","CODSAL3","ODSAL3","DEPTOPROCED","VIA4","BANDERA4","REGIMEN4","MODAD4","FORPA4","CERORI3","SISESP4","POSARA","DPTOR4","UNIDAD4","CODUNI4","CANTIDA4","PBK4","PNK4","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
503,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,6302600000,"08",11,"U",330370,67463,60837,402971.1,942031523.6,187381.08,1414.33,0,0
503,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,9603290000,"08",11,"U",6000,576.76,512.88,6919.27,16183688.18,5220.59,967.29,25.24,0
503,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,9615110000,"08",11,"U",743,827.35,735.72,3162.32,7396445.12,1612.68,442.08,11.53,0
503,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,9615900000,"08",11,"U",81,82.13,73.03,312.11,730003.44,257.52,43.63,1.14,0
503,"02",23,"DEU",2,"BAQ","08",1,"472",1,"198",1,6,1,6306910000,"08",11,"U",3885,8019.99,7625.46,68420.94,159282579.9,51375.28,2199.99,0,0
503,"02",23,"DEU",2,"BAQ","08",1,"472",1,"198",1,8,2,210200000,"08",33,"KG",3800,4200,3800,9986.5,23712544.79,0,0,0,0
503,"02",23,"DEU",2,"BAQ","08",1,"472",1,"198",1,8,2,9601900000,"08",11,"U",1103520,91960,91960,27588,64949739.54,0,0,0,0
503,"02",23,"DEU",2,"BAQ","08",1,"827",1,"198",1,6,1,6306910000,"08",11,"U",4016,8305.96,7931.96,68216.87,161978229.2,51162.66,2200,0,0
503,"02",23,"DEU",2,"BAQ","08",4,"023",1,"198",1,8,2,510001000,"08",33,"KG",2,5,2,13600,31743896,0,0,0,0
503,"02",23,"DEU",2,"BAQ","08",4,"169",1,"198",1,8,2,6306910000,"08",11,"U",305,746,714.38,6180.59,14724019.56,0,2151.64,0,0
503,"02",23,"DEU",2,"BAQ","08",4,"169",1,"004",2,8,2,9805000000,"08",11,"U",8,169,123,1000,2371430,0,0,0,0
503,"02",23,"DEU",2,"BAQ","11",1,"043",1,"198",1,5,1,3921120000,"11",33,"KG",12852.13,13050.46,12852.13,64579.01,153846575.5,37181.25,913.54,22.92,0
503,"02",23,"DEU",2,"BAQ","11",1,"047",1,"198",1,6,1,3921120000,"11",33,"KG",55160.36,55959.92,55160.36,190116.17,443603351.1,138761.88,4504.64,68.12,0
503,"02",23,"DEU",2,"BAQ","11",1,"047",1,"198",1,6,2,3921120000,"11",33,"KG",929.37,1037.27,929.37,17662.96,40745957.82,0,62,6.2,0
503,"02",23,"DEU",2,"BAQ","11",1,"573",1,"002",1,8,2,3921120000,"11",33,"KG",20,20,20,834.81,1946835.36,0,0,0,0
503,"02",23,"DEU",2,"BAQ","11",1,"573",1,"002",2,8,2,3921120000,"11",33,"KG",3.5,3.6,3.5,0.07,162.74,0,0,0,0
503,"02",23,"DEU",3,"BOG","08",4,"445",1,"198",1,6,1,9615110000,"08",11,"U",208,204,200.04,1029.66,2441766.61,874.73,520.35,0,0
503,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,1,6905100000,"08",11,"U",40968,41360.2,40960.2,6363.76,14825460.76,6363.76,0,0,0
503,"02",27,"ABW",2,"BAQ","08",1,"573",1,"198",1,8,1,2523210000,"05",33,"KG",140000,140350,140000,19600,45843028,19404,0,0,0
503,"02",27,"ABW",2,"BAQ","25",1,"043",1,"198",1,8,1,401200000,"25",61,"L",22464,24997.9,22464,13253.76,30917311.03,10470.47,0,0,0
503,"02",27,"ABW",2,"BAQ","25",1,"043",1,"198",1,8,1,2202900000,"25",61,"L",2688,2991.2,2688,3010.56,7022793.52,2297.97,0,0,0
503,"02",43,"ATG",2,"BAQ","08",1,"573",1,"198",1,4,1,6907900000,"25",82,"M2",460.8,86448,85248,8032.57,18737736.69,8032.57,10000,72.13,0
503,"02",43,"ATG",2,"BAQ","08",1,"580",1,"198",1,4,1,6907900000,"25",82,"M2",460.8,86448,85248,8032.57,18975822.07,8032.57,10000,72.13,0
503,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1704101000,"05",33,"KG",222,255.63,222,629.1,1471420.86,622.54,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1704901000,"05",33,"KG",2685.6,3092.42,2685.6,4443.6,10393269.34,4122.05,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905310000,"05",33,"KG",8397.6,9669.73,8397.6,12091.2,28280470.42,10828.1,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905320000,"05",33,"KG",2106,2425.03,2106,3780,8841155.4,3292.08,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905901000,"05",33,"KG",1536.6,1769.38,1536.6,3264,7634267.52,2721.38,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,2,2103200000,"05",33,"KG",486,844.47,486,1008,2393455.68,0,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,2,2209000000,"05",61,"L",360,625.53,360,172.8,410306.69,0,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,2203000000,"05",61,"L",693,800,800,134.5,319364.87,0,0,0,0
503,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,2309909000,"05",33,"KG",3500,3500,3500,590.6,1402356.08,0,0,0,0
