"FECH","ADUANA","PAIS4","CODPAI4","CODSAL3","ODSAL3","DEPTOPROCED","VIA4","BANDERA4","REGIMEN4","MODAD4","FORPA4","CERORI3","SISESP4","POSARA","DPTOR4","UNIDAD4","CODUNI4","CANTIDA4","PBK4","PNK4","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
510,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,5,1,9506690000,"08",11,"U",5280000,19404.02,16843,47148.2,108438031.1,22669.54,0,0,0
510,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,6302600000,"08",11,"U",90178,14247,12985,94635.8,216578375.2,75235.3,3254.26,0,0
510,"02",23,"DEU",2,"BAQ","08",1,"434",1,"198",1,6,1,9603290000,"08",11,"U",3600,129.24,120,495.59,1131907.74,494.82,83.99,1.85,0
510,"02",23,"DEU",2,"BAQ","08",1,"434",1,"198",1,6,1,9615110000,"08",11,"U",1648,1767.13,1640.82,6818.77,15573797.93,5424.96,1155.54,25.52,0
510,"02",23,"DEU",2,"BAQ","08",1,"434",1,"198",1,6,1,9615900000,"08",11,"U",425,449.43,417.31,1997.29,4561730.47,1647.94,338.47,7.48,0
510,"02",23,"DEU",2,"BAQ","08",1,"434",1,"198",1,8,2,9601900000,"08",11,"U",444000,38190,37000,11100,25404459,0,0,0,0
510,"02",23,"DEU",3,"BOG","08",4,"023",1,"198",1,8,1,6406100000,"08",11,"U",536,105,104,4367.42,10019385.58,1192.74,0,0,0
510,"02",23,"DEU",3,"BOG","08",4,"023",1,"198",1,8,2,510001000,"08",33,"KG",2,5,2,17000,39082830,0,0,0,0
510,"02",27,"ABW",2,"BAQ","05",1,"434",1,"198",1,8,1,6908900000,"05",82,"M2",1422.4,25920,25600,6400.8,14741106.41,5485.62,0,0,0
510,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,2,2523210000,"05",33,"KG",84000,84600,84000,11760,26920168.8,0,0,0,0
510,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,2,9401610000,"08",11,"U",14,560,560,2140,4928441.4,0,576.59,0,0
510,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,2,9403500000,"08",11,"U",46,2900,2900,8207,18900803.07,0,2211.24,0,0
510,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,2,9403600000,"08",11,"U",6,500,500,710,1635137.1,0,191.3,0,0
510,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,2,9404290000,"08",11,"U",24,150,150,1254,2887974.54,0,337.87,0,0
510,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,1,6802210000,"08",82,"M2",519.34,9583.23,9583.23,14123.77,32378291.06,10173,0,0,0
510,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,1,6802230000,"08",82,"M2",433.03,8731.77,8731.77,16365.9,37572895.36,6110,0,0,0
510,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,2,6811100000,"08",82,"M2",1627.48,18473,18473,9283,21254078.31,0,0,0,0
