"FECH","ADUANA","PAIS4","CODPAI4","CODSAL3","ODSAL3","DEPTOPROCED","VIA4","BANDERA4","REGIMEN4","MODAD4","FORPA4","CERORI3","SISESP4","POSARA","DPTOR4","UNIDAD4","CODUNI4","CANTIDA4","PBK4","PNK4","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
509,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,6302600000,"08",11,"U",56250,9620.01,8757,71194.84,163414228.2,56006.46,1688.64,0,0
509,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,9506690000,"08",11,"U",10208000,37225,32121,98134.3,224857149.2,46297.23,0,0,0
509,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,2,4819200000,"08",11,"U",1500000,112,28,1050,2404090.5,0,0,0,0
509,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,8,1,9503900000,"08",11,"U",2681000,6840.95,6382.56,64694.75,148318536.9,48424.37,1523.99,165.83,112.72
509,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,8,2,3923290000,"08",11,"U",2100,173.36,166.16,21,48144.39,0,0,0,0
509,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,8,2,4911100000,"08",33,"KG",110.78,115.58,110.78,14,32096.26,0,0,0,0
509,"02",23,"DEU",2,"BAQ","08",1,"434",1,"198",1,6,1,9603290000,"08",11,"U",8496,350.27,333.2,1061.29,2435624.48,850.24,169,3.93,0
509,"02",23,"DEU",2,"BAQ","08",1,"434",1,"198",1,6,1,9615110000,"08",11,"U",4530,4780.58,4514.4,21906.96,50377907.38,17699.24,2306.06,77.49,0
509,"02",23,"DEU",2,"BAQ","08",1,"434",1,"198",1,6,1,9615900000,"08",11,"U",1267,1328.27,1251.94,6572.04,15121892.17,6133.42,591.94,22.93,0
509,"02",23,"DEU",2,"BAQ","08",1,"434",1,"198",1,8,1,6306910000,"08",11,"U",3092,7057.96,6771.96,58241.76,131946124.9,43681.32,2150,0,4507
509,"02",23,"DEU",2,"BAQ","08",1,"434",1,"198",1,8,2,210200000,"08",33,"KG",2902.78,4500,2902.78,13062.5,29903981.25,0,0,0,0
509,"02",23,"DEU",2,"BAQ","08",1,"434",1,"198",1,8,2,9404900000,"08",11,"U",300,235.17,226.17,1050,2417919,0,50,0,0
509,"02",23,"DEU",3,"BOG","08",4,"023",1,"198",1,6,1,9603290000,"08",11,"U",1296,89.76,85.92,1581.12,3620148.16,1577.86,0,0,0
509,"02",23,"DEU",3,"BOG","08",4,"023",1,"198",1,6,1,9615110000,"08",11,"U",253,250.24,237.57,1932.84,4425087.65,1621.08,0,0,0
509,"02",23,"DEU",3,"BOG","08",4,"023",1,"198",1,6,1,9615900000,"08",11,"U",51,45,43.08,230.27,527228.49,211.07,0,0,0
509,"02",23,"DEU",3,"BOG","08",4,"023",1,"198",1,8,2,510001000,"08",33,"KG",2,5,2,17000,39020270,0,0,0,0
509,"02",23,"DEU",3,"BOG","08",4,"169",1,"198",1,8,1,9503900000,"08",11,"U",210000,495,460.5,3360,7712241.6,2559.31,1231.19,12,0
509,"02",27,"ABW",2,"BAQ","08",1,"027",1,"199",1,8,2,7208511000,"08",33,"KG",536.5,536.5,536.5,451.36,1039026.21,0,49.68,1.25,0
509,"02",27,"ABW",2,"BAQ","08",1,"027",1,"199",1,8,2,7208520090,"08",33,"KG",282.96,282.96,282.96,238.05,547988.72,0,26.2,0.66,0
509,"02",27,"ABW",2,"BAQ","08",1,"027",1,"199",1,8,2,7211140000,"08",33,"KG",146.5,161.15,146.5,1582.19,3642185.56,0,174.14,4.37,0
509,"02",27,"ABW",2,"BAQ","08",1,"027",1,"199",1,8,2,7216310000,"08",33,"KG",635.63,699.19,635.63,1009.51,2323881.92,0,111.11,2.79,0
509,"02",27,"ABW",2,"BAQ","08",1,"027",1,"199",1,8,2,7216330000,"05",33,"KG",2380.1,2380.1,2380.1,1962.34,4517287.06,0,215.98,5.42,0
509,"02",27,"ABW",2,"BAQ","08",1,"027",1,"199",1,8,2,7216500000,"08",33,"KG",10570.92,10570.92,10570.92,8944.23,20589528.02,0,984.43,24.68,0
509,"02",27,"ABW",2,"BAQ","08",1,"027",1,"199",1,8,2,7308400000,"08",33,"KG",2941.34,2941.34,2941.34,3755.8,8645814.04,0,413.37,10.36,0
509,"02",27,"ABW",2,"BAQ","08",1,"027",1,"199",1,8,2,7314200000,"08",33,"KG",8784,8784,8784,6588,15165510.12,0,725.09,18.18,0
509,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,2,602900000,"08",11,"U",75000,61460,61460,30250,69536099,0,0,0,0
509,"02",27,"ABW",2,"BAQ","08",1,"077",1,"198",1,8,2,2505900000,"08",33,"KG",15886000,15886000,15886000,157541.44,361177929.9,0,0,0,0
509,"02",27,"ABW",2,"BAQ","08",1,"472",1,"198",1,8,2,2505900000,"08",33,"KG",17570000,17570000,17570000,143249.5,329872083.6,0,0,0,0
509,"02",27,"ABW",2,"BAQ","08",1,"573",1,"198",1,8,1,6802210000,"08",82,"M2",500,15587.33,15585,6000,13735080,4260,0,0,0
509,"02",27,"ABW",2,"BAQ","08",1,"573",1,"198",1,8,1,6802230000,"08",82,"M2",143.17,4462.67,4462,4438.27,10159998.92,1331,0,0,0
509,"02",43,"ATG",2,"BAQ","17",1,"043",1,"198",1,8,2,201100000,"17",33,"KG",10700.7,11571.3,10700.7,39327.88,90269676.24,0,3830,0,383
509,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905310000,"05",33,"KG",16574.4,18129.75,16574.4,22704,51973542.72,20307.97,0,0,0
509,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905320000,"05",33,"KG",468,511.92,468,840,1922911.2,731.58,0,0,0
509,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905901000,"05",33,"KG",524.4,573.62,524.4,801.6,1835006.69,709.77,0,0,0
509,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,6109909000,"05",11,"U",8,0.95,0.95,60.3,138407.19,0,0,0,0
509,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,6112410000,"05",11,"U",22,14,14,1678.5,3852677.84,0,0,0,0
509,"02",47,"ANT",2,"BAQ","05",1,"047",1,"198",1,8,2,6206300000,"05",11,"U",8,0.95,0.95,25,57382.75,0,0,0,0
509,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,1,1101000000,"08",33,"KG",78000,78000,78000,25589,58821582.24,15353,0,0,0
509,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,1,4818100000,"08",33,"KG",4885.3,6522.3,4885.3,8686.38,19789571.51,7818,1352.08,14.6,0
509,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,1,6802210000,"08",82,"M2",526,12800.01,12798,8453.04,19402347.24,5396,0,0,0
509,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,401100000,"11",61,"L",16800,18200,17600,7224,16651970.16,0,0,0,0
509,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,604990000,"08",33,"KG",6280,6280,6280,669.6,1531114.06,0,0,0,0
509,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,3214900000,"08",33,"KG",91,91.92,91,676.48,1552731.31,0,0,0,0
509,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,4403990000,"08",67,"M3",2.89,13430,13430,5880.75,13446981.76,0,0,0,0
509,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,4411110000,"08",67,"M3",14.01,13974.05,13536,4864,11211957.76,0,828.38,48.49,0
509,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,4418200000,"08",11,"U",400,6289.15,6092,5705,13150538.45,0,971.62,56.88,0
509,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,4818300000,"08",33,"KG",759.5,914.5,759.5,1274.72,2914787.5,0,487.92,5.27,0
509,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,6804230000,"08",11,"U",10,58.59,58,210,482015.1,0,0,0,0
509,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,6805200000,"08",33,"KG",23,23.23,23,268,615143.08,0,0,0,0
509,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,6811100000,"08",82,"M2",16235.24,197604,197604,44169,101560391,0,0,0,0
