FECH,ADUANA,PAIS4,CODPAI4,CODSAL,CODSAL3,DEPTO_PROCED,VIA4,BANDERA4,REGIMEN4,MODAD4,FORPA4,CERORI3,SISESP4,POSARA4,DTOR4,UNIDAD4,CODUNI4,CANTIDA4,PBK4,PNK4,FOBDOL4,FOBPES4,AGRENA4,FLETES4,SEGURO4,OTROSG4,NIT,RAZ_SIAL
601,02,23,DEU,2,BAQ,08,1,043,1,198,1,6,1,6302600000,08,11,U,93754,18800.03,17131,123172,279741384.12,96067.8,3185.26,0,0,890100783,INDUSTRIAS CANNON DE COLOMBIA S.A
601,02,23,DEU,2,BAQ,08,1,043,1,198,1,8,1,6306910000,08,11,U,10010,21482.58,20567.58,189368.22,431210225.67,134666.53,5800.01,0,4763.34,890112586,HILATEL S.A.
601,02,23,DEU,2,BAQ,08,1,043,1,198,1,8,1,9506690000,08,11,U,5252000,19299.03,16673,42806.4,97695762.54,21033.21,0,0,0,802009120,C.I. PROCAPS S.A.
601,02,23,DEU,2,BAQ,08,1,434,1,198,1,8,2,0210200000,08,33,KG,2932.4,4080,2932.4,14662,33491233.64,0,0,0,0,802002307,S. C.I. OSCAR AREYANES GUILLEN & CIA LTDA.
601,02,23,DEU,2,BAQ,08,1,434,1,198,1,8,2,9601900000,08,11,U,444905,37100,37075.35,11419.2,26035661.81,0,0,0,0,802002307,C.I. OSCAR AREYANES GUILLEN
601,02,23,DEU,2,BAQ,08,1,827,1,198,1,8,1,9506690000,08,11,U,16627,19245.98,16627,42022.6,95590068.91,20776.82,0,0,0,802009120,C.I. PROCAPS S.A.
601,02,23,DEU,3,BOG,08,4,023,1,198,1,8,2,0510001000,08,33,KG,4.5,8,4.5,36500,83302855,0,0,0,0,802002307,s.c.i. oscar areyanes guillen y cia ltda
601,02,23,DEU,3,BOG,08,4,445,1,198,1,6,1,6306910000,08,11,U,630,1455,1392,11860,27021824,8895,3642.45,0,0,890112586,HILATEL SA
601,02,27,ABW,2,BAQ,08,1,043,1,198,1,8,2,9403500000,08,11,U,32,2570,2570,7873,17899265.5,0,1614.54,0,0,890117416,CONSERVAS MONTEVERDE LTDA
601,02,27,ABW,2,BAQ,08,1,043,1,198,1,8,2,9403600000,08,11,U,12,1110,1110,1638,3723993,0,335.91,0,0,890117416,CONSERVAS MONTEVERDE LTDA
601,02,27,ABW,2,BAQ,08,1,043,1,198,1,8,2,9404290000,08,11,U,18,90,90,1251,2844148.5,0,256.55,0,0,890117416,CONSERVAS MONTEVERDE LTDA
601,02,27,ABW,2,BAQ,08,1,434,1,198,1,8,2,6811100000,08,82,M2,1739.72,19747,19747,9757.5,22071855.3,0,0,0,0,860002301,ETERNIT ATLANTICO S.A.
601,02,27,ABW,2,BAQ,08,1,434,1,198,1,8,2,6811900000,08,33,KG,730,730,730,950,2148938,0,0,0,0,860002301,ETERNIT ATLANTICO S.A.
601,02,47,ANT,2,BAQ,05,1,043,1,002,2,8,2,0901212000,05,33,KG,0.17,0.2,0.17,0.5,1135.44,0,0,0,0,811014994,COMPAÑIA DE GALLETAS NOEL S.A
601,02,47,ANT,2,BAQ,05,1,043,1,002,2,8,2,1704901000,05,33,KG,3.6,4.26,3.6,6.03,13693.41,0,0,0,0,811014994,COMPAÑIA DE GALLETAS NOEL S.A
601,02,47,ANT,2,BAQ,05,1,043,1,002,2,8,2,2101110000,05,33,KG,1.74,3.64,1.74,2,4541.76,0,0,0,0,811014994,COMPAÑIA DE GALLETAS NOEL S.A
601,02,47,ANT,2,BAQ,05,1,043,1,002,2,8,2,2101120000,05,33,KG,1.73,3.62,1.73,3.5,7948.08,0,0,0,0,811014994,COMPAÑIA DE GALLETAS NOEL S.A
601,02,47,ANT,2,BAQ,05,1,043,1,002,2,8,2,2106901000,05,33,KG,2.28,2.7,2.28,9.58,21755.03,0,0,0,0,811014994,COMPAÑIA DE GALLETAS NOEL S.A
