"FECH","ADUA","PAIS","COD_PAI4","COD_SAL1","COD_SAL","DPTO2","VIA","BANDERA","REGIM","MODAD","FINALID","CER_ORI1","SISESP","POSAR","DPTO1","UNID","CODUNI2","CANTI","PBK","PNK","FOBDOL","FOBPES","AGRENA","FLETES","SEGURO","OTROSG","NIT","RAZ_SIAL"
1001,3,13,"AFG",3,"BOG",11,4,676,1,104,2,8,2,8407100000,11,11,"U",4,1476.55,1200,240000,470263200,0,0,0,0,"860510672","VERTICAL DE AVIACION LIMITADA"
1001,3,13,"AFG",3,"BOG",11,4,676,1,104,2,8,2,8802120000,11,11,"U",2,15600,15600,1145000,2243547350,0,0,0,0,"860510672","VERTICAL DE AVIACION LIMITADA"
1001,3,13,"AFG",3,"BOG",11,4,676,1,104,2,8,2,8803100000,11,11,"U",6,1900,1900,98060,192141705.8,0,0,0,0,"860510672","VERTICAL DE AVIACION LIMITADA"
1001,3,13,"AFG",3,"BOG",11,4,676,1,104,2,8,2,8803300000,11,11,"U",25,1274.95,1239,72200,141470846,0,0,0,0,"860510672","VERTICAL DE AVIACION LIMITADA"
1001,3,23,"DEU",3,"BOG",5,4,169,1,199,1,8,2,5807100000,5,33,"KG",4.5,5,4.5,252,501784.92,0,0,0,0,"890900314","MARQUILLAS S.A."
1001,3,23,"DEU",3,"BOG",8,4,445,1,198,2,8,2,8483609000,8,11,"U",1,174,172,940.26,1863557.71,0,0,0,0,"860002576","GENERAL DE EQUIPOS DE COLOMBIA S A GECOLSA"
1001,3,23,"DEU",3,"BOG",11,4,23,1,198,1,5,2,602109000,11,11,"U",16300,22,22,798.7,1564996.74,0,0,0,1232.4,"830092332","FLORES DEL AMANECER S.A."
1001,3,23,"DEU",3,"BOG",11,4,23,1,198,1,6,1,603110000,11,11,"U",11245,914.5,878.5,4647.8,9151890.02,2895.35,0,0,0,"8000136387","FLORES SAGARO S.A."
1001,3,23,"DEU",3,"BOG",11,4,23,1,198,1,6,1,603110000,11,11,"U",8970,779,750,3739.8,7382851.37,2329.71,0,0,0,"800013638","FLORES SAGARO S.A."
1001,3,23,"DEU",3,"BOG",11,4,23,1,198,1,6,1,603110000,11,11,"U",232880,12297,11362,66519.6,130578757.47,33435.58,0,0,0,"830098375","C.I. FLORES IPANEMA LIMITADA"
1001,3,23,"DEU",3,"BOG",11,4,23,1,198,1,6,1,603110000,11,11,"U",4100,252,240,981.4,1930806.36,909.15,0,0,0,"860025565","FLORES DE LOS ANDES LTDA SOCIEDAD COMERCIALIZADORA INTERNACI"
