FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;POSAR;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES;AGRENA;FLETES;SEGURO;OTROSG
2304;1;249;USA;0;AXM;68;9;249;1;198;1;8;2;2710191500;68;67;M3;103,09;83301,24;83301,24;139760,98;634316107,23;0;0;0;0
2304;1;580;PAN;0;AXM;68;0;580;1;198;1;8;2;2710191500;68;67;M3;8,78;7103,04;7103,04;10189,46;46390455,86;0;0;0;0
2304;3;023;DEU;3;BOG;5;3;253;1;198;1;8;2;603199010;5;11;U;954,00;142,00;138,00;362,52;1639909,97;0;1340,38;0;0
2304;3;023;DEU;3;BOG;5;9;169;1;198;1;8;2;603199010;5;11;U;499,00;68,00;66,00;189,62;857772,61;0;629,28;0;0
2304;3;023;DEU;3;BOG;5;9;169;1;198;1;8;2;4202220020;5;11;U;60,00;26,39;26,39;9240,00;42235208,40;0;0;0;0
2304;3;023;DEU;3;BOG;5;9;169;1;198;1;8;2;6107110000;5;11;U;13,00;1,83;1,55;139,00;628785,96;0;35,82;0;0
2304;3;023;DEU;3;BOG;5;9;169;1;198;1;8;2;6107120000;5;11;U;90,00;12,68;10,72;844,37;3819625,90;0;217,61;0;0
2304;3;023;DEU;3;BOG;5;9;169;1;198;1;8;2;6112310000;5;11;U;7,00;0,98;0,83;63,60;287703,50;0;16,39;0;0
2304;3;023;DEU;3;BOG;5;9;169;1;198;1;8;2;6112410000;5;11;U;502,00;226,75;213,29;27166,80;122989882,28;0;0;0;0
2304;3;023;DEU;3;BOG;5;9;169;1;198;1;8;2;6204420000;5;11;U;129,00;59,13;53,70;24681,60;111366486,72;0;0;0;0
2304;3;023;DEU;3;BOG;5;9;169;1;198;1;8;2;6204490000;5;11;U;129,00;56,74;56,74;36036,00;164717312,76;0;0;0;0
2304;3;023;DEU;3;BOG;5;9;169;1;198;1;8;2;6204620000;5;11;U;35,00;16,39;14,13;4165,00;18669404,25;0;0;0;0
2304;3;023;DEU;3;BOG;5;9;169;1;198;1;8;2;6206300000;5;11;U;50,00;23,41;20,18;5100,00;22860495,00;0;0;0;0
2304;3;023;DEU;3;BOG;5;9;169;1;198;1;8;2;6217100000;5;11;U;167,00;75,17;71,29;15632,00;70983273,28;0;0;0;0
2304;3;023;DEU;3;BOG;5;9;169;1;198;1;8;2;6505009000;5;11;U;100,00;43,99;43,99;11831,50;54080721,66;0;0;0;0
2304;3;023;DEU;3;BOG;5;9;249;1;198;1;8;2;6112410000;5;11;U;4,00;3,64;3,26;533,60;2360657,07;0;0;0;0
2304;3;023;DEU;3;BOG;5;9;249;1;198;1;8;2;6204420000;5;11;U;23,00;20,93;18,75;6467,60;28612791,75;0;0;0;0
2304;3;023;DEU;3;BOG;5;9;249;1;198;1;8;2;6204430000;5;11;U;2,00;1,82;1,63;1196,00;5291127,92;0;0;0;0
2304;3;023;DEU;3;BOG;5;9;249;1;198;1;8;2;6204440000;5;11;U;5,00;4,55;4,08;2553,00;11294523,06;0;0;0;0
2304;3;023;DEU;3;BOG;5;9;249;1;198;1;8;2;6204490000;5;11;U;20,00;18,20;16,30;8979,20;39724160,38;0;0;0;0
2304;3;023;DEU;3;BOG;5;9;249;1;198;1;8;2;6204520000;5;11;U;8,00;7,28;6,52;2097,60;9279824,35;0;0;0;0
2304;3;023;DEU;3;BOG;5;9;249;1;198;1;8;2;6211420000;5;11;U;8,00;7,28;6,52;1352,40;5983044,64;0;0;0;0
2304;3;023;DEU;3;BOG;5;9;249;1;198;1;8;2;6211499000;5;11;U;3,00;2,73;2,45;662,40;2930470,84;0;0;0;0
2304;3;023;DEU;3;BOG;5;9;249;1;198;1;8;2;6217100000;5;11;U;6,00;5,44;4,88;883,20;3907294,46;0;0;0;0
2304;3;023;DEU;3;BOG;11;0;580;1;198;1;8;2;3926909090;11;11;U;4500,00;222,00;187,00;8060,00;35938492,20;0;1244;80;0
2304;3;023;DEU;3;BOG;11;3;23;1;198;1;6;1;7007210000;11;11;U;25,00;2015,97;1274,00;35015,10;161640633,32;30896,29;10171,54;707,56;0
2304;3;023;DEU;3;BOG;11;3;23;1;198;1;6;2;7007210000;11;11;U;3,00;142,00;142,00;306,09;1388356,90;0;815;25;0
2304;3;023;DEU;3;BOG;11;3;23;1;198;1;8;1;7007210000;11;11;U;7,00;316,98;229,00;4940,42;21893224,19;4297,38;1019,8;60,2;0
2304;3;023;DEU;3;BOG;11;3;23;1;198;1;8;2;301110020;11;11;U;140,00;36,90;32,52;63,00;279181,35;0;0;0;0
2304;3;023;DEU;3;BOG;11;3;23;1;198;1;8;2;301110090;11;11;U;5285,00;363,09;320,00;4246,80;18819481,86;0;0;0;0
2304;3;023;DEU;3;BOG;11;3;23;1;198;1;8;2;8306290000;11;11;U;3485,00;480,00;455,00;9471,49;44005300,25;0;0;0;0
2304;3;023;DEU;3;BOG;11;3;23;1;199;1;6;1;7007210000;11;11;U;4,00;288,99;194,00;4986,17;22232683,82;4319,32;989,64;60,36;0
2304;3;023;DEU;3;BOG;11;3;23;1;199;1;8;2;8481400090;11;11;U;1,00;67,00;59,00;19351,70;86743027,66;0;449,33;0;0
2304;3;023;DEU;3;BOG;11;3;23;1;104;2;8;2;106190000;11;11;U;4,00;39,00;33,00;200,00;914182,00;0;0;0;0
2304;3;023;DEU;3;BOG;11;3;253;1;198;1;6;1;603129000;11;11;U;18720,00;760,00;639,00;3556,80;16065211,96;3465,43;0;0;0
2304;3;023;DEU;3;BOG;11;3;253;1;198;1;8;1;603900000;11;11;U;12496,00;431,99;418,00;17703,64;78343386,97;14582,96;0;0;0
2304;3;023;DEU;3;BOG;11;3;573;1;198;1;6;1;603121000;11;11;U;6120,00;190,16;173,00;739,90;3382016,30;705,64;0;0;39,47
2304;3;023;DEU;3;BOG;11;3;573;1;198;1;6;1;603129000;11;11;U;90240,00;3410,83;2965,00;15105,50;67704760,20;14606,1;0;0;194,53
2304;3;023;DEU;3;BOG;11;3;573;1;198;1;6;2;603121000;11;11;U;16740,00;564,93;510,00;2982,60;13198810,30;0;0;0;0
2304;3;023;DEU;3;BOG;11;3;573;1;198;1;6;2;603129000;11;11;U;92960,00;3485,05;2931,00;16971,20;75102142,22;0;0;0;0
2304;3;023;DEU;3;BOG;11;3;573;1;198;1;8;2;603193000;11;11;U;72,00;23,00;19,00;104,40;471549,74;0;0;0;0
2304;3;023;DEU;3;BOG;11;3;573;1;198;1;8;2;810901010;11;33;KG;286,00;339,00;286,00;2193,70;10242385,30;0;0;0;0
2304;3;023;DEU;3;BOG;11;3;573;1;199;1;8;2;301110090;11;11;U;8711,00;248,00;100,00;4979,74;22526551,05;0;0;0;0
2304;3;023;DEU;3;BOG;11;3;573;1;104;2;8;2;2812900000;11;33;KG;8,55;9,00;8,55;124,46;551538,26;0;360;34,4;0
2304;3;023;DEU;3;BOG;11;3;573;1;104;2;8;2;8525890000;11;11;U;1,00;0,58;0,58;9000,00;41887260,00;0;450,2;45;0
2304;3;023;DEU;3;BOG;11;3;573;1;104;2;8;2;9018909000;11;11;U;1,00;0,58;0,58;9000,00;41887260,00;0;450,2;45;0
2304;3;023;DEU;3;BOG;11;3;573;1;104;2;8;2;9701990000;11;11;U;3,00;84,00;35,00;6390,00;28906059,60;0;0;0;0
2304;3;023;DEU;3;BOG;11;5;245;1;198;1;6;1;603129000;11;11;U;4480,00;150,00;134,00;806,40;3568537,72;780;0;0;0
2304;3;023;DEU;3;BOG;11;5;245;1;198;1;8;1;603121000;11;11;U;30360,00;1021,90;948,00;5262,40;24449531,39;5062,27;0;0;0
2304;3;023;DEU;3;BOG;11;5;245;1;198;1;8;1;603129000;11;11;U;60896,00;2352,09;2182,00;12067,88;56068335,91;11666,45;0;0;0
2304;3;023;DEU;3;BOG;11;5;245;1;198;1;8;2;901211000;11;33;KG;1000,00;1056,00;1000,00;3930,00;17963676,30;0;0;75;3375
2304;3;023;DEU;3;BOG;11;5;245;1;104;2;8;2;8471500000;8;11;U;1,00;14,00;14,00;1294,94;5738461,86;0;27,65;0;0
2304;3;023;DEU;3;BOG;11;5;245;1;104;2;8;2;9018499000;8;11;U;2,00;29,00;29,00;11768,80;52152848,76;0;251,29;0;0
2304;3;023;DEU;3;BOG;11;5;245;1;104;2;8;2;9022130000;8;11;U;1,00;38,00;38,00;13612,88;60324797,07;0;290,66;0;0
2304;3;023;DEU;3;BOG;11;5;245;1;104;2;8;2;9022900000;8;11;U;1,00;32,00;32,00;2916,17;12922861,54;0;62,27;0;0
2304;3;023;DEU;3;BOG;11;5;245;1;104;2;8;2;9026101900;5;11;U;97,00;87,00;78,30;485,00;2232455,00;0;0;0;0
2304;3;023;DEU;3;BOG;11;5;245;1;199;2;8;2;8536909000;11;11;U;5,00;8,00;7,30;1189,68;5264655,21;0;0;0;0
2304;3;023;DEU;3;BOG;11;7;827;1;198;1;6;1;603129000;11;11;U;40200,00;1520,00;1388,00;7200,00;32108289,98;6973,72;0;0;0
