FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;POSAR;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES;AGRENA;FLETES;SEGURO;OTROSG
2301;1;249;USA;0;AXM;68;9;249;1;198;1;8;2;2710191500;68;67;M3;75,22;72944,68;60787,23;102115,16;484897921,86;0;0;0;0
2301;1;580;PAN;0;AXM;68;0;580;1;198;1;8;2;2710191500;68;67;M3;14,37;13933,66;11611,39;17148,61;81430860,52;0;0;0;0
2301;3;023;DEU;3;BOG;5;3;253;1;198;1;8;2;603199010;5;11;U;11040,00;1683,00;1510,90;10445,10;49029194,94;0;0;0;0
2301;3;023;DEU;3;BOG;5;3;573;1;198;1;6;2;603199010;5;11;U;140,00;31,00;25,00;64,40;302292,95;0;0;0;0
2301;3;023;DEU;3;BOG;5;3;573;1;198;1;6;2;810905000;5;33;KG;1134,00;1529,00;1134,00;5405,40;25372893,54;0;0;0;0
2301;3;023;DEU;3;BOG;5;7;827;1;198;1;8;2;603199010;5;11;U;60,00;12,00;10,00;55,80;261924,64;0;0;0;0
2301;3;023;DEU;3;BOG;8;0;580;1;199;2;8;2;4009220000;8;33;KG;78,00;81,25;78,00;50,00;231582,00;0;0;0;0
2301;3;023;DEU;3;BOG;8;0;580;1;199;2;8;2;8483609000;8;11;U;234,00;243,75;234,00;150,00;694746,00;0;0;0;0
2301;3;023;DEU;3;BOG;11;3;23;1;198;1;6;1;603121000;11;11;U;13320,00;421,35;385,00;1462,97;6852332,03;1388,4;0;0;0
2301;3;023;DEU;3;BOG;11;3;23;1;198;1;6;1;603129000;11;11;U;57720,00;2058,64;1881,00;7359,23;34469529,43;7046,33;0;0;0
2301;3;023;DEU;3;BOG;11;3;23;1;198;1;8;1;603900000;11;11;U;960,00;23,00;20,90;603,69;2838954,85;588,21;0;0;0
2301;3;023;DEU;3;BOG;11;3;23;1;198;1;8;2;301110090;11;11;U;225,00;124,00;99,20;1961,15;9083340,78;0;0;0;0
2301;3;023;DEU;3;BOG;11;3;23;1;198;1;8;2;603193000;11;11;U;164,00;75,00;63,00;265,60;1325232,44;0;0;0;0
2301;3;023;DEU;3;BOG;11;3;23;1;198;1;8;2;4202111000;11;11;U;74,00;105,56;91,62;5682,65;26616680,20;0;0;0;0
2301;3;023;DEU;3;BOG;11;3;23;1;198;1;8;2;4202210000;11;11;U;160,00;135,03;117,20;5575,35;26114103,09;0;0;0;0
2301;3;023;DEU;3;BOG;11;3;23;1;198;1;8;2;4202310000;11;11;U;46,00;16,76;14,55;1037,51;4859541,21;0;0;0;0
2301;3;023;DEU;3;BOG;11;3;23;1;198;1;8;2;4202911000;11;11;U;93,00;112,62;97,75;4865,21;22787913,85;0;0;0;0
2301;3;023;DEU;3;BOG;11;3;23;1;199;1;8;2;301110020;11;11;U;20,00;53,00;50,00;140,00;664795,60;0;0;0;0
2301;3;023;DEU;3;BOG;11;3;23;1;199;1;8;2;301110090;11;11;U;13263,00;322,00;300,00;8253,30;39532881,26;0;0;0;0
2301;3;023;DEU;3;BOG;11;3;23;1;2;2;8;2;3923302000;11;11;U;163584,00;2789,00;2462,40;1635,84;8054876,16;0;3200;20,68;51
2301;3;023;DEU;3;BOG;11;3;23;1;104;2;8;2;106131100;11;11;U;3,00;57,00;30,00;150,00;732849,00;0;0;0;0
2301;3;023;DEU;3;BOG;11;3;23;1;104;2;8;2;106131200;11;11;U;1,00;20,00;10,00;50,00;244283,00;0;0;0;0
2301;3;023;DEU;3;BOG;11;3;23;1;198;2;8;2;901211000;25;33;KG;15,00;16,00;15,00;50,00;227296,00;0;30;20;0
2301;3;023;DEU;3;BOG;11;3;253;1;198;1;6;1;603129000;11;11;U;24040,00;913,00;758,00;4567,60;21427022,68;4450,27;0;0;0
2301;3;023;DEU;3;BOG;11;3;253;1;198;1;6;2;603110000;11;11;U;8800,00;557,00;176,00;2544,00;11546987,04;0;0;0;0
2301;3;023;DEU;3;BOG;11;3;253;1;198;1;8;1;603900000;11;11;U;5772,00;219,99;214,00;9064,80;42550080,54;7278,67;0;0;0
2301;3;023;DEU;3;BOG;11;3;573;1;198;1;6;1;603129000;11;11;U;13120,00;510,00;425,00;2427,20;11386213,64;2363,16;0;0;0
2301;3;023;DEU;3;BOG;11;3;573;1;198;1;6;2;603121000;11;11;U;6660,00;206,60;183,00;1152,00;5558935,56;0;0;0;0
2301;3;023;DEU;3;BOG;11;3;573;1;198;1;6;2;603129000;11;11;U;73760,00;2688,39;2264,00;13305,60;62872905,24;0;0;0;0
2301;3;023;DEU;3;BOG;11;3;573;1;198;1;8;1;603129000;11;11;U;76200,00;2779,00;2388,00;13716,00;68268728,88;13390,72;0;0;0
2301;3;023;DEU;3;BOG;11;3;573;1;2;2;8;2;3920209000;11;33;KG;292,61;325,00;292,61;1560,68;7325816,31;0;848,13;23,92;724,57
2301;3;023;DEU;3;BOG;11;5;245;1;104;2;8;2;6307904000;11;11;U;7,00;9,46;5,10;42,96;203997,27;0;5,25;0,09;0
2301;3;023;DEU;3;BOG;11;5;245;1;104;2;8;2;9031499000;11;11;U;1,00;115,01;62,00;16867,20;80094573,88;0;2061,11;35,87;0
2301;3;023;DEU;3;BOG;11;5;245;1;104;2;8;2;9031900000;11;11;U;20,00;441,52;238,00;1929,18;9160788,39;0;235,74;4,1;0
