FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;POSAR;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES;AGRENA;FLETES;SEGURO;OTROSG
2302;1;249;USA;0;AXM;68;9;249;1;198;1;8;2;2710191500;68;67;M3;64,79;52359,11;52359,11;87627,38;419142789,10;0;0;0;0
2302;1;580;PAN;0;AXM;68;0;580;1;198;1;8;2;2710191500;68;67;M3;12,16;9836,40;9836,40;15583,40;74539142,21;0;0;0;0
2302;3;023;DEU;3;BOG;5;9;149;1;198;1;8;2;810905000;5;33;KG;2512,08;3339,00;2512,08;12308,40;58709221,74;0;0;0;0
2302;3;023;DEU;3;BOG;5;9;249;1;198;1;8;2;6107110000;5;11;U;46,00;3,26;3,26;219,21;1063091,77;0;32,79;0;0
2302;3;023;DEU;3;BOG;5;9;249;1;198;1;8;2;6107120000;5;11;U;697,00;49,43;49,43;3262,60;15822468,09;0;488,01;0;0
2302;3;023;DEU;3;BOG;5;9;249;1;198;1;8;2;6109100000;5;11;U;2,00;0,14;0,14;11,68;56643,91;0;1,75;0;0
2302;3;023;DEU;3;BOG;5;9;249;1;198;1;8;2;6112310000;5;11;U;48,00;3,40;3,40;401,16;1945485,59;0;60;0;0
2302;3;023;DEU;3;BOG;5;9;249;1;198;1;8;2;6203430000;5;11;U;22,00;1,57;1,57;215,04;1042868,73;0;32,16;0;0
2302;3;023;DEU;3;BOG;8;0;580;1;104;2;8;2;8481400090;8;11;U;10,00;10,00;10,00;10,00;49503,30;0;0;0;0
2302;3;023;DEU;3;BOG;11;3;23;1;4;1;8;2;9805000000;11;11;U;1,00;338,00;304,20;1500,00;7449495,00;0;674;7,5;568,45
2302;3;023;DEU;3;BOG;11;3;23;1;198;1;6;1;7007210000;11;11;U;63,00;4401,93;3027,82;83280,61;400424832,09;73782,81;25973,05;2100,3;0
2302;3;023;DEU;3;BOG;11;3;23;1;199;1;8;2;301110090;11;11;U;29878,00;110,00;100,00;8673,96;41429001,45;0;0;0;0
2302;3;023;DEU;3;BOG;11;3;23;1;2;2;8;2;7007210000;11;11;U;8,00;310,00;280,00;427,12;2053652,75;0;2007,95;49,7;0
2302;3;023;DEU;3;BOG;11;3;23;1;104;2;8;2;106190000;11;11;U;3,00;78,00;62,40;150,00;725978,00;0;0;0;0
2302;3;023;DEU;3;BOG;11;3;23;1;198;2;6;1;7007210000;11;11;U;1,00;139,00;85,00;908,65;4410496,23;599,04;1161;50;0
2302;3;023;DEU;3;BOG;11;3;253;1;198;1;6;2;603121000;11;11;U;1500,00;44,84;41,00;270,00;1329725,70;0;0;0;0
2302;3;023;DEU;3;BOG;11;3;253;1;198;1;6;2;603129000;11;11;U;13100,00;445,15;407,00;2497,00;12297500,27;0;0;0;0
2302;3;023;DEU;3;BOG;11;3;493;1;2;2;8;2;4202121090;11;11;U;30,00;0,75;0,75;30,00;147568,20;0;0;0;0
2302;3;023;DEU;3;BOG;11;3;493;1;2;2;8;2;4203400000;11;11;U;30,00;388,00;388,00;180,00;885409,20;0;0;0;0
2302;3;023;DEU;3;BOG;11;3;493;1;2;2;8;2;4820900000;11;11;U;150,00;14,90;14,90;150,00;737840,00;0;0;0;0
2302;3;023;DEU;3;BOG;11;3;493;1;2;2;8;2;4903000000;11;11;U;1,00;35,02;35,02;280,00;1377303,20;0;0;0;0
2302;3;023;DEU;3;BOG;11;3;493;1;2;2;8;2;4911990000;11;33;KG;15,00;15,00;15,00;300,00;1475681,00;0;0;0;0
