FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;POSAR;DPTO1;UNID;CODUNI2;CANTI; PBK ; PNK ; FOBDOL ; FOBPES ;AGRENA;FLETES;SEGURO;OTROSG
2401;1;249;USA;0;AXM;68;9;249;1;198;1;8;2;2710191500;68;67;M3;81,2; 65.709,13 ; 65.709,13 ; 104.336,29 ; 407.055.515,07 ;0;0;0;0
2401;1;580;PAN;0;AXM;68;0;580;1;198;1;8;2;2710191500;68;67;M3;14,12; 11.435,46 ; 11.435,46 ; 10.889,34 ; 42.483.453,28 ;0;0;0;0
2401;3;023;DEU;3;BOG;5;3;23;1;198;1;8;2;0810905000;5;33;KG;1890; 2.487,00 ; 1.890,00 ; 11.592,00 ; 45.604.434,96 ;0;0;0;0
2401;3;023;DEU;3;BOG;5;3;573;1;198;1;8;2;0603900000;5;11;U;2640; 112,00 ; 55,00 ; 3.379,20 ; 13.413.734,40 ;0;0;0;0
2401;3;023;DEU;3;BOG;5;3;573;1;198;1;8;2;0810905000;5;33;KG;2524,5; 3.387,00 ; 2.524,50 ; 15.483,60 ; 60.407.407,36 ;0;0;0;0
2401;3;023;DEU;3;BOG;5;5;245;1;198;1;8;2;0603199010;5;11;U;18170; 2.689,00 ; 2.430,00 ; 9.972,40 ; 38.937.136,07 ;0;0;0;0
2401;3;023;DEU;3;BOG;5;7;827;1;198;1;8;2;0603199010;5;11;U;1230; 218,00 ; 172,00 ; 1.020,00 ; 3.980.695,14 ;0;0;0;0
2401;3;023;DEU;3;BOG;5;8;618;1;198;1;8;2;0603199010;5;11;U;425; 69,00 ; 62,10 ; 344,00 ; 1.351.902,80 ;0;0;0;0
2401;3;023;DEU;3;BOG;5;9;169;1;198;1;8;2;0603199010;5;11;U;21930; 3.228,00 ; 2.907,00 ; 12.445,80 ; 48.882.621,91 ;0;0;0;0
2401;3;023;DEU;3;BOG;8;3;23;1;199;1;8;2;3002121200;8;33;KG;3368,4; 3.866,00 ; 3.368,40 ; 413.532,00 ; 1.623.361.219,20 ;0;4500;0;0
2401;3;023;DEU;3;BOG;11;1;211;1;199;2;8;2;9701910000;11;11;U;1; 23,00 ; 22,00 ; 2.000,00 ; 7.869.240,00 ;0;0;0;0
2401;3;023;DEU;3;BOG;11;3;23;1;198;1;6;1;0603121000;11;11;U;1500; 64,70 ; 59,00 ; 240,00 ; 945.804,00 ;231,6;0;0;0
2401;3;023;DEU;3;BOG;11;3;23;1;198;1;6;1;0603129000;11;11;U;41240; 1.543,29 ; 1.413,00 ; 7.296,00 ; 28.524.185,27 ;7058,85;0;0;0
2401;3;023;DEU;3;BOG;11;3;23;1;198;1;6;1;7007210000;11;11;U;84; 5.768,92 ; 4.673,92 ; 136.717,93 ; 535.648.691,62 ;110982,31;23937,23;2386,74;0
2401;3;023;DEU;3;BOG;11;3;23;1;198;1;6;2;0603121000;11;11;U;2450; 79,53 ; 72,00 ; 441,00 ; 1.720.508,58 ;0;0;0;0
2401;3;023;DEU;3;BOG;11;3;23;1;198;1;6;2;0603129000;11;11;U;15440; 532,46 ; 482,00 ; 2.747,20 ; 10.717.871,13 ;0;0;0;0
2401;3;023;DEU;3;BOG;11;3;23;1;198;1;8;1;0603121000;11;11;U;6800; 226,58 ; 210,00 ; 1.224,00 ; 4.804.518,24 ;1179,17;0;0;0
2401;3;023;DEU;3;BOG;11;3;23;1;198;1;8;1;0603129000;11;11;U;85759; 2.861,41 ; 2.711,00 ; 15.359,27 ; 60.330.194,64 ;14784,54;0;0;0
2401;3;023;DEU;3;BOG;11;3;23;1;198;1;8;2;0301110090;11;11;U;29998; 521,00 ; 428,80 ; 10.775,16 ; 42.252.960,78 ;0;2742,53;0;0
2401;3;023;DEU;3;BOG;11;3;23;1;198;1;8;2;0603121000;11;11;U;1650; 62,42 ; 53,00 ; 272,25 ; 1.062.150,70 ;0;0;0;0
2401;3;023;DEU;3;BOG;11;3;23;1;198;1;8;2;0603129000;11;11;U;8320; 308,57 ; 262,00 ; 1.510,40 ; 5.892.644,35 ;0;0;0;0
2401;3;023;DEU;3;BOG;11;3;23;1;198;1;8;2;0810901030;11;33;KG;102,5; 128,73 ; 102,50 ; 400,00 ; 1.560.552,00 ;0;251,75;0;0
